dataset,horizon_positions,rolling_origin,rolling_origin_index,method,method_role,seed,epochs_completed,best_epoch,best_validation_mse,optimizer_steps,parameter_count,fit_unique_origins,validation_unique_origins,test_unique_origins,test_target_count,mape,wape,mae,rmse,smape,runtime_s
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,CSA-Poincare-Shared,proposed,59,8,7,0.0647744164,160,29815,6764,1194,672,4032,0.0288468484,0.0302993258,994.3239307706,1661.5020273567,0.0289432929,1.2436
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,CSA-Poincare-Shared,proposed,71,8,8,0.0611826852,160,29815,6764,1194,672,4032,0.0284916191,0.0298295140,978.9062577505,1645.2914944751,0.0285712294,1.3337
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,TargetSelfContext-Matched,capacity_compute_matched_control,11,8,7,0.0655929372,160,29815,6764,1194,672,4032,0.0303227336,0.0315996130,1036.9950663249,1697.4479051373,0.0304895926,1.3038
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,TargetSelfContext-Matched,capacity_compute_matched_control,23,8,8,0.0634221211,160,29815,6764,1194,672,4032,0.0284917384,0.0301864488,990.6196792845,1642.8939216138,0.0285317546,1.2539
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,TargetSelfContext-Matched,capacity_compute_matched_control,47,8,8,0.0623560101,160,29815,6764,1194,672,4032,0.0280888966,0.0293556689,963.3562234546,1601.7106661716,0.0279820268,1.2763
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,TargetSelfContext-Matched,capacity_compute_matched_control,59,8,8,0.0688710660,160,29815,6764,1194,672,4032,0.0305344468,0.0322667152,1058.8871605283,1725.5416740345,0.0307076123,1.2767
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,TargetSelfContext-Matched,capacity_compute_matched_control,71,8,8,0.0623545200,160,29815,6764,1194,672,4032,0.0285137334,0.0298930758,980.9921443879,1624.2383034837,0.0285994641,1.2858
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,UniformCrossSeries-Matched,informative_cross_series_control,11,8,8,0.0629516169,160,29815,6764,1194,672,4032,0.0290240534,0.0306276918,1005.0998198494,1673.8783676577,0.0291336161,1.2971
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,UniformCrossSeries-Matched,informative_cross_series_control,23,8,8,0.0613689497,160,29815,6764,1194,672,4032,0.0284747907,0.0297680852,976.8903643896,1631.4788859701,0.0285149810,1.3010
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,UniformCrossSeries-Matched,informative_cross_series_control,47,8,8,0.0600686632,160,29815,6764,1194,672,4032,0.0281264083,0.0292249746,959.0672670395,1608.0800006012,0.0281287272,1.2699
OPSD time_series_60min_singleindex,24,2017-10-01T00:00:00Z,24065,UniformCrossSeries-Matched,informative_cross_series_control,59,8,7,0.0645455867,160,29815,6764,1194,672,4032,0.0288570352,0.0303416324,995.7122938368,1662.9460737107,0.0289395781,1.3500
