run_namespace,cap,horizon_hours,architecture,seed_index,seed,parameter_count,epochs,batch_size,checkpoint_epochs,execution_status,failure_code,sanitized_exception_class,training_runtime_s
p1_ieee_access_upgrade_v2,0.60,1,DLinear,5,83,106,20,256,5|10|15|20,completed,,,0.4776432
p1_ieee_access_upgrade_v2,0.60,1,TCN,5,83,28273,20,256,5|10|15|20,completed,,,1.032672
p1_ieee_access_upgrade_v2,0.60,1,GRU,6,97,8257,20,256,5|10|15|20,completed,,,0.6118991
p1_ieee_access_upgrade_v2,0.60,1,LSTM,6,97,10993,20,256,5|10|15|20,completed,,,0.6310711
p1_ieee_access_upgrade_v2,0.60,1,DLinear,6,97,106,20,256,5|10|15|20,completed,,,0.4814214
p1_ieee_access_upgrade_v2,0.60,1,TCN,6,97,28273,20,256,5|10|15|20,completed,,,1.0522769
p1_ieee_access_upgrade_v2,0.60,1,GRU,7,109,8257,20,256,5|10|15|20,completed,,,0.6207141
p1_ieee_access_upgrade_v2,0.60,1,LSTM,7,109,10993,20,256,5|10|15|20,completed,,,0.6270355
p1_ieee_access_upgrade_v2,0.60,1,DLinear,7,109,106,20,256,5|10|15|20,completed,,,0.4829191
p1_ieee_access_upgrade_v2,0.60,1,TCN,7,109,28273,20,256,5|10|15|20,completed,,,0.9903652
p1_ieee_access_upgrade_v2,0.60,1,GRU,8,127,8257,20,256,5|10|15|20,completed,,,0.5565091
p1_ieee_access_upgrade_v2,0.60,1,LSTM,8,127,10993,20,256,5|10|15|20,completed,,,0.5877773
p1_ieee_access_upgrade_v2,0.60,1,DLinear,8,127,106,20,256,5|10|15|20,completed,,,0.4100516
p1_ieee_access_upgrade_v2,0.60,1,TCN,8,127,28273,20,256,5|10|15|20,completed,,,0.9513183
p1_ieee_access_upgrade_v2,0.60,1,GRU,9,139,8257,20,256,5|10|15|20,completed,,,0.5701788
p1_ieee_access_upgrade_v2,0.60,1,LSTM,9,139,10993,20,256,5|10|15|20,completed,,,0.5822227
p1_ieee_access_upgrade_v2,0.60,1,DLinear,9,139,106,20,256,5|10|15|20,completed,,,0.4127956
p1_ieee_access_upgrade_v2,0.60,1,TCN,9,139,28273,20,256,5|10|15|20,completed,,,0.9658897
