horizon_hours,metric,comparison,opponent_role,n,mean_proposed,mean_opponent,proposed_better,u_statistic,p_value,p_holm,significant_005_holm,mean_difference,mean_diff_ci_low,mean_diff_ci_high,rank_biserial_proposed_greater,ci_scope
24,onset_mae,DSTAR-GRU vs DLinear,baseline,10,0.11082187,0.10131713,False,98.0,0.000329839,0.00494758,True,0.009504741000000011,0.006543523375000014,0.012475967300000005,0.96,pointwise_multiplicity_unadjusted
24,onset_mae,DSTAR-GRU vs LSTM,baseline,10,0.11082187,0.10902063,False,73.0,0.088973,0.978703,False,0.001801241000000009,-0.00023437995000000374,0.003783124125000016,0.45999999999999996,pointwise_multiplicity_unadjusted
24,onset_mae,DSTAR-GRU vs MLP,baseline,10,0.11082187,0.10226666,False,100.0,0.000182672,0.00383611,True,0.00855521300000002,0.005968878249999997,0.01127748677500001,1.0,pointwise_multiplicity_unadjusted
24,onset_mae,DSTAR-GRU vs TCN,baseline,10,0.11082187,0.11122535,True,50.0,1.0,1.0,False,-0.0004034809999999833,-0.003966816650000016,0.0029759327250000124,0.0,pointwise_multiplicity_unadjusted
24,onset_f1,DSTAR-GRU vs Ablation-LSTMEncoder,ablation,10,0.1767887,0.1687468,True,61.0,0.427355,1.0,False,0.00804189999999999,-0.004171477500000005,0.02098059000000001,0.21999999999999997,pointwise_multiplicity_unadjusted
24,onset_f1,DSTAR-GRU vs Ablation-NoRetrievalBank,ablation,10,0.1767887,0.2069725,False,1.0,0.000246128,0.00393805,True,-0.03018380000000001,-0.04128317499999998,-0.01916460000000001,-0.98,pointwise_multiplicity_unadjusted
24,onset_f1,DSTAR-GRU vs Ablation-NoSiamese,ablation,10,0.1767887,0.224913,False,0.0,6.38644e-05,0.00172434,True,-0.04812430000000001,-0.057202792499999995,-0.039009232500000005,-1.0,pointwise_multiplicity_unadjusted
24,onset_f1,DSTAR-GRU vs Ablation-NoTopology,ablation,10,0.1767887,0.1752468,True,53.0,0.850107,1.0,False,0.0015419000000000127,-0.00943592000000002,0.012561532499999993,0.06000000000000005,pointwise_multiplicity_unadjusted
24,onset_f1,DSTAR-GRU vs Ablation-SmallBank,ablation,10,0.1767887,0.122857,True,100.0,6.38644e-05,0.00172434,True,0.0539317,0.04494262750000002,0.063122735,1.0,pointwise_multiplicity_unadjusted
24,onset_f1,DSTAR-GRU vs DLinear,baseline,10,0.1767887,0.1649842,True,57.0,0.623176,1.0,False,0.011804499999999996,-0.013199942499999947,0.03918665250000001,0.1399999999999999,pointwise_multiplicity_unadjusted
24,onset_f1,DSTAR-GRU vs LSTM,baseline,10,0.1767887,0.2107957,False,0.0,0.000182672,0.00383611,True,-0.03400699999999998,-0.04514513500000001,-0.023309372500000022,-1.0,pointwise_multiplicity_unadjusted
24,onset_f1,DSTAR-GRU vs MLP,baseline,10,0.1767887,0.2063726,False,14.0,0.00728456,0.0946992,False,-0.029583899999999996,-0.04684168999999999,-0.012489182500000017,-0.72,pointwise_multiplicity_unadjusted
24,onset_f1,DSTAR-GRU vs TCN,baseline,10,0.1767887,0.1828225,False,37.0,0.344704,1.0,False,-0.006033800000000006,-0.02858359500000001,0.019560397500000028,-0.26,pointwise_multiplicity_unadjusted
