method,dimension,level,automatic_error_type,count
granite:F10_Compact_NoShape,table,asset_types,candidate_execution_error,3
granite:F10_Compact_NoShape,table,asset_types,candidate_shape_mismatch,4
granite:F10_Compact_NoShape,table,asset_types,correct,28
granite:F10_Compact_NoShape,table,asset_types,wrong_denotation,2
granite:F10_Compact_NoShape,table,assets,candidate_execution_error,10
granite:F10_Compact_NoShape,table,assets,candidate_shape_mismatch,38
granite:F10_Compact_NoShape,table,assets,correct,40
granite:F10_Compact_NoShape,table,assets,wrong_denotation,20
granite:F10_Compact_NoShape,table,grid_topology,candidate_shape_mismatch,9
granite:F10_Compact_NoShape,table,grid_topology,wrong_denotation,2
granite:F10_Compact_NoShape,table,locations,candidate_execution_error,2
granite:F10_Compact_NoShape,table,locations,candidate_shape_mismatch,3
granite:F10_Compact_NoShape,table,locations,correct,42
granite:F10_Compact_NoShape,table,locations,wrong_denotation,3
granite:F10_Compact_NoShape,table,maintenance_logs,candidate_shape_mismatch,1
granite:F10_Compact_NoShape,table,maintenance_logs,correct,2
granite:F10_Compact_NoShape,table,maintenance_logs,wrong_denotation,3
granite:F10_Compact_NoShape,table,sensor_readings,candidate_execution_error,5
granite:F10_Compact_NoShape,table,sensor_readings,candidate_shape_mismatch,18
granite:F10_Compact_NoShape,table,sensor_readings,correct,1
granite:F10_Compact_NoShape,table,sensor_readings,wrong_denotation,3
granite:F10_Compact_NoShape,table,technicians,candidate_execution_error,1
granite:F10_Compact_NoShape,table,technicians,candidate_shape_mismatch,12
granite:F10_Compact_NoShape,table,technicians,correct,3
granite:F10_Compact_NoShape,table,technicians,wrong_denotation,1
granite:F10_Compact_NoShape,table,work_orders,candidate_execution_error,4
granite:F10_Compact_NoShape,table,work_orders,candidate_shape_mismatch,28
granite:F10_Compact_NoShape,table,work_orders,correct,18
granite:F10_Compact_NoShape,table,work_orders,wrong_denotation,17
granite:F11_Compact_WithShape,difficulty,easy,candidate_execution_error,2
granite:F11_Compact_WithShape,difficulty,easy,correct,53
granite:F11_Compact_WithShape,difficulty,easy,wrong_denotation,11
granite:F11_Compact_WithShape,difficulty,hard,candidate_execution_error,3
granite:F11_Compact_WithShape,difficulty,hard,candidate_shape_mismatch,1
granite:F11_Compact_WithShape,difficulty,hard,correct,2
granite:F11_Compact_WithShape,difficulty,hard,wrong_denotation,17
granite:F11_Compact_WithShape,difficulty,medium,candidate_execution_error,6
granite:F11_Compact_WithShape,difficulty,medium,candidate_shape_mismatch,2
granite:F11_Compact_WithShape,difficulty,medium,correct,53
granite:F11_Compact_WithShape,difficulty,medium,wrong_denotation,30
granite:F11_Compact_WithShape,order_sensitive,0,candidate_execution_error,2
granite:F11_Compact_WithShape,order_sensitive,0,correct,62
granite:F11_Compact_WithShape,order_sensitive,0,wrong_denotation,2
granite:F11_Compact_WithShape,order_sensitive,1,candidate_execution_error,9
granite:F11_Compact_WithShape,order_sensitive,1,candidate_shape_mismatch,3
granite:F11_Compact_WithShape,order_sensitive,1,correct,46
granite:F11_Compact_WithShape,order_sensitive,1,wrong_denotation,56
granite:F11_Compact_WithShape,sql_feature_tag,aggregation,candidate_execution_error,2
granite:F11_Compact_WithShape,sql_feature_tag,aggregation,candidate_shape_mismatch,1
granite:F11_Compact_WithShape,sql_feature_tag,aggregation,correct,48
granite:F11_Compact_WithShape,sql_feature_tag,aggregation,wrong_denotation,8
granite:F11_Compact_WithShape,sql_feature_tag,distinct,correct,1
granite:F11_Compact_WithShape,sql_feature_tag,distinct,wrong_denotation,2
granite:F11_Compact_WithShape,sql_feature_tag,filter,candidate_execution_error,8
granite:F11_Compact_WithShape,sql_feature_tag,filter,candidate_shape_mismatch,2
granite:F11_Compact_WithShape,sql_feature_tag,filter,correct,105
granite:F11_Compact_WithShape,sql_feature_tag,filter,wrong_denotation,55
granite:F11_Compact_WithShape,sql_feature_tag,float,candidate_execution_error,4
granite:F11_Compact_WithShape,sql_feature_tag,float,correct,25
granite:F11_Compact_WithShape,sql_feature_tag,float,wrong_denotation,7
granite:F11_Compact_WithShape,sql_feature_tag,group-by,candidate_execution_error,1
granite:F11_Compact_WithShape,sql_feature_tag,group-by,candidate_shape_mismatch,1
granite:F11_Compact_WithShape,sql_feature_tag,group-by,correct,4
granite:F11_Compact_WithShape,sql_feature_tag,group-by,wrong_denotation,6
granite:F11_Compact_WithShape,sql_feature_tag,having,candidate_shape_mismatch,1
granite:F11_Compact_WithShape,sql_feature_tag,having,wrong_denotation,1
granite:F11_Compact_WithShape,sql_feature_tag,join,candidate_execution_error,8
granite:F11_Compact_WithShape,sql_feature_tag,join,candidate_shape_mismatch,3
granite:F11_Compact_WithShape,sql_feature_tag,join,correct,61
granite:F11_Compact_WithShape,sql_feature_tag,join,wrong_denotation,30
granite:F11_Compact_WithShape,sql_feature_tag,left join,wrong_denotation,2
granite:F11_Compact_WithShape,sql_feature_tag,nested query,candidate_execution_error,1
granite:F11_Compact_WithShape,sql_feature_tag,nested query,wrong_denotation,5
granite:F11_Compact_WithShape,sql_feature_tag,null,correct,1
granite:F11_Compact_WithShape,sql_feature_tag,order-by,candidate_execution_error,9
granite:F11_Compact_WithShape,sql_feature_tag,order-by,candidate_shape_mismatch,3
granite:F11_Compact_WithShape,sql_feature_tag,order-by,correct,46
granite:F11_Compact_WithShape,sql_feature_tag,order-by,wrong_denotation,56
granite:F11_Compact_WithShape,sql_feature_tag,pattern,candidate_execution_error,1
granite:F11_Compact_WithShape,sql_feature_tag,pattern,wrong_denotation,1
granite:F11_Compact_WithShape,sql_feature_tag,scalar function,candidate_execution_error,1
granite:F11_Compact_WithShape,sql_feature_tag,scalar function,wrong_denotation,1
granite:F11_Compact_WithShape,sql_feature_tag,self-join,wrong_denotation,9
granite:F11_Compact_WithShape,sql_feature_tag,time predicate,candidate_execution_error,2
granite:F11_Compact_WithShape,sql_feature_tag,time predicate,correct,19
granite:F11_Compact_WithShape,sql_feature_tag,time predicate,wrong_denotation,9
granite:F11_Compact_WithShape,sql_feature_tag,top-k,candidate_execution_error,1
granite:F11_Compact_WithShape,sql_feature_tag,top-k,correct,16
granite:F11_Compact_WithShape,sql_feature_tag,top-k,wrong_denotation,1
granite:F11_Compact_WithShape,sql_feature_tag,topology traversal,correct,1
granite:F11_Compact_WithShape,sql_feature_tag,topology traversal,wrong_denotation,10
granite:F11_Compact_WithShape,table,asset_types,candidate_execution_error,3
granite:F11_Compact_WithShape,table,asset_types,candidate_shape_mismatch,2
granite:F11_Compact_WithShape,table,asset_types,correct,30
granite:F11_Compact_WithShape,table,asset_types,wrong_denotation,2
granite:F11_Compact_WithShape,table,assets,candidate_execution_error,9
granite:F11_Compact_WithShape,table,assets,candidate_shape_mismatch,3
granite:F11_Compact_WithShape,table,assets,correct,55
granite:F11_Compact_WithShape,table,assets,wrong_denotation,41
granite:F11_Compact_WithShape,table,grid_topology,correct,1
granite:F11_Compact_WithShape,table,grid_topology,wrong_denotation,10
granite:F11_Compact_WithShape,table,locations,candidate_execution_error,4
granite:F11_Compact_WithShape,table,locations,candidate_shape_mismatch,2
granite:F11_Compact_WithShape,table,locations,correct,41
granite:F11_Compact_WithShape,table,locations,wrong_denotation,3
granite:F11_Compact_WithShape,table,maintenance_logs,candidate_execution_error,1
granite:F11_Compact_WithShape,table,maintenance_logs,correct,3
granite:F11_Compact_WithShape,table,maintenance_logs,wrong_denotation,2
granite:F11_Compact_WithShape,table,sensor_readings,candidate_execution_error,3
granite:F11_Compact_WithShape,table,sensor_readings,correct,17
granite:F11_Compact_WithShape,table,sensor_readings,wrong_denotation,7
granite:F11_Compact_WithShape,table,technicians,candidate_execution_error,1
granite:F11_Compact_WithShape,table,technicians,correct,8
granite:F11_Compact_WithShape,table,technicians,wrong_denotation,8
granite:F11_Compact_WithShape,table,work_orders,candidate_execution_error,2
granite:F11_Compact_WithShape,table,work_orders,candidate_shape_mismatch,2
granite:F11_Compact_WithShape,table,work_orders,correct,33
granite:F11_Compact_WithShape,table,work_orders,wrong_denotation,30
qwen:F00_Full_NoShape,difficulty,easy,candidate_shape_mismatch,18
qwen:F00_Full_NoShape,difficulty,easy,correct,45
qwen:F00_Full_NoShape,difficulty,easy,wrong_denotation,3
qwen:F00_Full_NoShape,difficulty,hard,candidate_shape_mismatch,14
qwen:F00_Full_NoShape,difficulty,hard,correct,2
qwen:F00_Full_NoShape,difficulty,hard,wrong_denotation,7
qwen:F00_Full_NoShape,difficulty,medium,candidate_execution_error,1
qwen:F00_Full_NoShape,difficulty,medium,candidate_shape_mismatch,53
qwen:F00_Full_NoShape,difficulty,medium,correct,29
qwen:F00_Full_NoShape,difficulty,medium,wrong_denotation,8
qwen:F00_Full_NoShape,order_sensitive,0,correct,65
qwen:F00_Full_NoShape,order_sensitive,0,wrong_denotation,1
qwen:F00_Full_NoShape,order_sensitive,1,candidate_execution_error,1
qwen:F00_Full_NoShape,order_sensitive,1,candidate_shape_mismatch,85
qwen:F00_Full_NoShape,order_sensitive,1,correct,11
qwen:F00_Full_NoShape,order_sensitive,1,wrong_denotation,17
qwen:F00_Full_NoShape,sql_feature_tag,aggregation,candidate_execution_error,1
qwen:F00_Full_NoShape,sql_feature_tag,aggregation,candidate_shape_mismatch,3
qwen:F00_Full_NoShape,sql_feature_tag,aggregation,correct,49
qwen:F00_Full_NoShape,sql_feature_tag,aggregation,wrong_denotation,6
qwen:F00_Full_NoShape,sql_feature_tag,distinct,correct,1
qwen:F00_Full_NoShape,sql_feature_tag,distinct,wrong_denotation,2
qwen:F00_Full_NoShape,sql_feature_tag,filter,candidate_shape_mismatch,81
qwen:F00_Full_NoShape,sql_feature_tag,filter,correct,74
qwen:F00_Full_NoShape,sql_feature_tag,filter,wrong_denotation,15
qwen:F00_Full_NoShape,sql_feature_tag,float,candidate_shape_mismatch,23
qwen:F00_Full_NoShape,sql_feature_tag,float,correct,9
qwen:F00_Full_NoShape,sql_feature_tag,float,wrong_denotation,4
qwen:F00_Full_NoShape,sql_feature_tag,group-by,candidate_execution_error,1
qwen:F00_Full_NoShape,sql_feature_tag,group-by,candidate_shape_mismatch,3
qwen:F00_Full_NoShape,sql_feature_tag,group-by,correct,3
qwen:F00_Full_NoShape,sql_feature_tag,group-by,wrong_denotation,5
qwen:F00_Full_NoShape,sql_feature_tag,having,candidate_execution_error,1
qwen:F00_Full_NoShape,sql_feature_tag,having,candidate_shape_mismatch,1
qwen:F00_Full_NoShape,sql_feature_tag,join,candidate_execution_error,1
qwen:F00_Full_NoShape,sql_feature_tag,join,candidate_shape_mismatch,56
qwen:F00_Full_NoShape,sql_feature_tag,join,correct,37
qwen:F00_Full_NoShape,sql_feature_tag,join,wrong_denotation,8
qwen:F00_Full_NoShape,sql_feature_tag,left join,correct,1
qwen:F00_Full_NoShape,sql_feature_tag,left join,wrong_denotation,1
qwen:F00_Full_NoShape,sql_feature_tag,nested query,candidate_shape_mismatch,1
qwen:F00_Full_NoShape,sql_feature_tag,nested query,wrong_denotation,5
qwen:F00_Full_NoShape,sql_feature_tag,null,correct,1
qwen:F00_Full_NoShape,sql_feature_tag,order-by,candidate_execution_error,1
qwen:F00_Full_NoShape,sql_feature_tag,order-by,candidate_shape_mismatch,85
qwen:F00_Full_NoShape,sql_feature_tag,order-by,correct,11
qwen:F00_Full_NoShape,sql_feature_tag,order-by,wrong_denotation,17
qwen:F00_Full_NoShape,sql_feature_tag,pattern,correct,1
qwen:F00_Full_NoShape,sql_feature_tag,pattern,wrong_denotation,1
qwen:F00_Full_NoShape,sql_feature_tag,scalar function,candidate_shape_mismatch,1
qwen:F00_Full_NoShape,sql_feature_tag,scalar function,correct,1
qwen:F00_Full_NoShape,sql_feature_tag,self-join,candidate_shape_mismatch,7
qwen:F00_Full_NoShape,sql_feature_tag,self-join,correct,1
qwen:F00_Full_NoShape,sql_feature_tag,self-join,wrong_denotation,1
qwen:F00_Full_NoShape,sql_feature_tag,time predicate,candidate_shape_mismatch,28
qwen:F00_Full_NoShape,sql_feature_tag,time predicate,wrong_denotation,2
qwen:F00_Full_NoShape,sql_feature_tag,top-k,candidate_shape_mismatch,18
qwen:F00_Full_NoShape,sql_feature_tag,topology traversal,candidate_shape_mismatch,9
qwen:F00_Full_NoShape,sql_feature_tag,topology traversal,correct,1
qwen:F00_Full_NoShape,sql_feature_tag,topology traversal,wrong_denotation,1
qwen:F00_Full_NoShape,table,asset_types,candidate_shape_mismatch,6
qwen:F00_Full_NoShape,table,asset_types,correct,29
qwen:F00_Full_NoShape,table,asset_types,wrong_denotation,2
qwen:F00_Full_NoShape,table,assets,candidate_execution_error,1
qwen:F00_Full_NoShape,table,assets,candidate_shape_mismatch,54
qwen:F00_Full_NoShape,table,assets,correct,40
qwen:F00_Full_NoShape,table,assets,wrong_denotation,13
qwen:F00_Full_NoShape,table,grid_topology,candidate_shape_mismatch,9
qwen:F00_Full_NoShape,table,grid_topology,correct,1
qwen:F00_Full_NoShape,table,grid_topology,wrong_denotation,1
qwen:F00_Full_NoShape,table,locations,candidate_execution_error,1
qwen:F00_Full_NoShape,table,locations,candidate_shape_mismatch,2
qwen:F00_Full_NoShape,table,locations,correct,44
qwen:F00_Full_NoShape,table,locations,wrong_denotation,3
qwen:F00_Full_NoShape,table,maintenance_logs,candidate_shape_mismatch,2
qwen:F00_Full_NoShape,table,maintenance_logs,correct,2
qwen:F00_Full_NoShape,table,maintenance_logs,wrong_denotation,2
qwen:F00_Full_NoShape,table,sensor_readings,candidate_shape_mismatch,21
qwen:F00_Full_NoShape,table,sensor_readings,correct,2
qwen:F00_Full_NoShape,table,sensor_readings,wrong_denotation,4
qwen:F00_Full_NoShape,table,technicians,candidate_shape_mismatch,13
qwen:F00_Full_NoShape,table,technicians,correct,3
qwen:F00_Full_NoShape,table,technicians,wrong_denotation,1
qwen:F00_Full_NoShape,table,work_orders,candidate_shape_mismatch,47
qwen:F00_Full_NoShape,table,work_orders,correct,14
qwen:F00_Full_NoShape,table,work_orders,wrong_denotation,6
qwen:F01_Full_WithShape,difficulty,easy,correct,61
qwen:F01_Full_WithShape,difficulty,easy,wrong_denotation,5
qwen:F01_Full_WithShape,difficulty,hard,candidate_execution_error,4
qwen:F01_Full_WithShape,difficulty,hard,candidate_shape_mismatch,1
qwen:F01_Full_WithShape,difficulty,hard,correct,4
qwen:F01_Full_WithShape,difficulty,hard,wrong_denotation,14
qwen:F01_Full_WithShape,difficulty,medium,candidate_execution_error,1
qwen:F01_Full_WithShape,difficulty,medium,correct,64
qwen:F01_Full_WithShape,difficulty,medium,wrong_denotation,26
qwen:F01_Full_WithShape,order_sensitive,0,correct,64
qwen:F01_Full_WithShape,order_sensitive,0,wrong_denotation,2
qwen:F01_Full_WithShape,order_sensitive,1,candidate_execution_error,5
qwen:F01_Full_WithShape,order_sensitive,1,candidate_shape_mismatch,1
qwen:F01_Full_WithShape,order_sensitive,1,correct,65
qwen:F01_Full_WithShape,order_sensitive,1,wrong_denotation,43
qwen:F01_Full_WithShape,sql_feature_tag,aggregation,candidate_execution_error,3
qwen:F01_Full_WithShape,sql_feature_tag,aggregation,candidate_shape_mismatch,1
qwen:F01_Full_WithShape,sql_feature_tag,aggregation,correct,48
qwen:F01_Full_WithShape,sql_feature_tag,aggregation,wrong_denotation,7
qwen:F01_Full_WithShape,sql_feature_tag,distinct,correct,2
qwen:F01_Full_WithShape,sql_feature_tag,distinct,wrong_denotation,1
qwen:F01_Full_WithShape,sql_feature_tag,filter,candidate_execution_error,4
qwen:F01_Full_WithShape,sql_feature_tag,filter,correct,125
qwen:F01_Full_WithShape,sql_feature_tag,filter,wrong_denotation,41
qwen:F01_Full_WithShape,sql_feature_tag,float,correct,28
qwen:F01_Full_WithShape,sql_feature_tag,float,wrong_denotation,8
qwen:F01_Full_WithShape,sql_feature_tag,group-by,candidate_execution_error,3
qwen:F01_Full_WithShape,sql_feature_tag,group-by,candidate_shape_mismatch,1
qwen:F01_Full_WithShape,sql_feature_tag,group-by,correct,3
qwen:F01_Full_WithShape,sql_feature_tag,group-by,wrong_denotation,5
qwen:F01_Full_WithShape,sql_feature_tag,having,candidate_execution_error,1
qwen:F01_Full_WithShape,sql_feature_tag,having,candidate_shape_mismatch,1
qwen:F01_Full_WithShape,sql_feature_tag,join,candidate_execution_error,4
qwen:F01_Full_WithShape,sql_feature_tag,join,candidate_shape_mismatch,1
qwen:F01_Full_WithShape,sql_feature_tag,join,correct,71
qwen:F01_Full_WithShape,sql_feature_tag,join,wrong_denotation,26
qwen:F01_Full_WithShape,sql_feature_tag,left join,candidate_execution_error,1
qwen:F01_Full_WithShape,sql_feature_tag,left join,wrong_denotation,1
qwen:F01_Full_WithShape,sql_feature_tag,nested query,correct,1
qwen:F01_Full_WithShape,sql_feature_tag,nested query,wrong_denotation,5
qwen:F01_Full_WithShape,sql_feature_tag,null,correct,1
qwen:F01_Full_WithShape,sql_feature_tag,order-by,candidate_execution_error,5
qwen:F01_Full_WithShape,sql_feature_tag,order-by,candidate_shape_mismatch,1
qwen:F01_Full_WithShape,sql_feature_tag,order-by,correct,65
qwen:F01_Full_WithShape,sql_feature_tag,order-by,wrong_denotation,43
qwen:F01_Full_WithShape,sql_feature_tag,pattern,correct,2
qwen:F01_Full_WithShape,sql_feature_tag,scalar function,correct,1
qwen:F01_Full_WithShape,sql_feature_tag,scalar function,wrong_denotation,1
qwen:F01_Full_WithShape,sql_feature_tag,self-join,correct,2
qwen:F01_Full_WithShape,sql_feature_tag,self-join,wrong_denotation,7
qwen:F01_Full_WithShape,sql_feature_tag,time predicate,correct,25
qwen:F01_Full_WithShape,sql_feature_tag,time predicate,wrong_denotation,5
qwen:F01_Full_WithShape,sql_feature_tag,top-k,candidate_execution_error,1
qwen:F01_Full_WithShape,sql_feature_tag,top-k,correct,17
qwen:F01_Full_WithShape,sql_feature_tag,topology traversal,candidate_shape_mismatch,1
qwen:F01_Full_WithShape,sql_feature_tag,topology traversal,correct,3
qwen:F01_Full_WithShape,sql_feature_tag,topology traversal,wrong_denotation,7
qwen:F01_Full_WithShape,table,asset_types,candidate_execution_error,2
qwen:F01_Full_WithShape,table,asset_types,correct,33
qwen:F01_Full_WithShape,table,asset_types,wrong_denotation,2
qwen:F01_Full_WithShape,table,assets,candidate_execution_error,4
qwen:F01_Full_WithShape,table,assets,candidate_shape_mismatch,1
qwen:F01_Full_WithShape,table,assets,correct,69
qwen:F01_Full_WithShape,table,assets,wrong_denotation,34
qwen:F01_Full_WithShape,table,grid_topology,candidate_shape_mismatch,1
qwen:F01_Full_WithShape,table,grid_topology,correct,3
qwen:F01_Full_WithShape,table,grid_topology,wrong_denotation,7
qwen:F01_Full_WithShape,table,locations,candidate_execution_error,3
qwen:F01_Full_WithShape,table,locations,correct,45
qwen:F01_Full_WithShape,table,locations,wrong_denotation,2
qwen:F01_Full_WithShape,table,maintenance_logs,correct,4
qwen:F01_Full_WithShape,table,maintenance_logs,wrong_denotation,2
qwen:F01_Full_WithShape,table,sensor_readings,candidate_execution_error,1
qwen:F01_Full_WithShape,table,sensor_readings,correct,18
qwen:F01_Full_WithShape,table,sensor_readings,wrong_denotation,8
qwen:F01_Full_WithShape,table,technicians,candidate_execution_error,2
qwen:F01_Full_WithShape,table,technicians,correct,12
qwen:F01_Full_WithShape,table,technicians,wrong_denotation,3
qwen:F01_Full_WithShape,table,work_orders,candidate_execution_error,3
qwen:F01_Full_WithShape,table,work_orders,correct,39
qwen:F01_Full_WithShape,table,work_orders,wrong_denotation,25
qwen:F10_Compact_NoShape,difficulty,easy,candidate_execution_error,1
qwen:F10_Compact_NoShape,difficulty,easy,candidate_shape_mismatch,17
qwen:F10_Compact_NoShape,difficulty,easy,correct,44
qwen:F10_Compact_NoShape,difficulty,easy,wrong_denotation,4
qwen:F10_Compact_NoShape,difficulty,hard,candidate_execution_error,3
qwen:F10_Compact_NoShape,difficulty,hard,candidate_shape_mismatch,11
qwen:F10_Compact_NoShape,difficulty,hard,correct,3
qwen:F10_Compact_NoShape,difficulty,hard,wrong_denotation,6
qwen:F10_Compact_NoShape,difficulty,medium,candidate_execution_error,19
qwen:F10_Compact_NoShape,difficulty,medium,candidate_shape_mismatch,23
qwen:F10_Compact_NoShape,difficulty,medium,correct,31
qwen:F10_Compact_NoShape,difficulty,medium,wrong_denotation,18
qwen:F10_Compact_NoShape,order_sensitive,0,correct,64
qwen:F10_Compact_NoShape,order_sensitive,0,wrong_denotation,2
qwen:F10_Compact_NoShape,order_sensitive,1,candidate_execution_error,23
qwen:F10_Compact_NoShape,order_sensitive,1,candidate_shape_mismatch,51
qwen:F10_Compact_NoShape,order_sensitive,1,correct,14
qwen:F10_Compact_NoShape,order_sensitive,1,wrong_denotation,26
qwen:F10_Compact_NoShape,sql_feature_tag,aggregation,candidate_execution_error,1
qwen:F10_Compact_NoShape,sql_feature_tag,aggregation,candidate_shape_mismatch,2
qwen:F10_Compact_NoShape,sql_feature_tag,aggregation,correct,49
qwen:F10_Compact_NoShape,sql_feature_tag,aggregation,wrong_denotation,7
qwen:F10_Compact_NoShape,sql_feature_tag,distinct,correct,1
qwen:F10_Compact_NoShape,sql_feature_tag,distinct,wrong_denotation,2
qwen:F10_Compact_NoShape,sql_feature_tag,filter,candidate_execution_error,22
qwen:F10_Compact_NoShape,sql_feature_tag,filter,candidate_shape_mismatch,48
qwen:F10_Compact_NoShape,sql_feature_tag,filter,correct,75
qwen:F10_Compact_NoShape,sql_feature_tag,filter,wrong_denotation,25
qwen:F10_Compact_NoShape,sql_feature_tag,float,candidate_execution_error,2
qwen:F10_Compact_NoShape,sql_feature_tag,float,candidate_shape_mismatch,8
qwen:F10_Compact_NoShape,sql_feature_tag,float,correct,9
qwen:F10_Compact_NoShape,sql_feature_tag,float,wrong_denotation,17
qwen:F10_Compact_NoShape,sql_feature_tag,group-by,candidate_execution_error,1
qwen:F10_Compact_NoShape,sql_feature_tag,group-by,candidate_shape_mismatch,2
qwen:F10_Compact_NoShape,sql_feature_tag,group-by,correct,4
qwen:F10_Compact_NoShape,sql_feature_tag,group-by,wrong_denotation,5
qwen:F10_Compact_NoShape,sql_feature_tag,having,candidate_shape_mismatch,1
qwen:F10_Compact_NoShape,sql_feature_tag,having,wrong_denotation,1
qwen:F10_Compact_NoShape,sql_feature_tag,join,candidate_execution_error,21
qwen:F10_Compact_NoShape,sql_feature_tag,join,candidate_shape_mismatch,23
qwen:F10_Compact_NoShape,sql_feature_tag,join,correct,39
qwen:F10_Compact_NoShape,sql_feature_tag,join,wrong_denotation,19
qwen:F10_Compact_NoShape,sql_feature_tag,left join,correct,1
qwen:F10_Compact_NoShape,sql_feature_tag,left join,wrong_denotation,1
qwen:F10_Compact_NoShape,sql_feature_tag,nested query,candidate_shape_mismatch,1
qwen:F10_Compact_NoShape,sql_feature_tag,nested query,correct,1
qwen:F10_Compact_NoShape,sql_feature_tag,nested query,wrong_denotation,4
qwen:F10_Compact_NoShape,sql_feature_tag,null,correct,1
qwen:F10_Compact_NoShape,sql_feature_tag,order-by,candidate_execution_error,23
qwen:F10_Compact_NoShape,sql_feature_tag,order-by,candidate_shape_mismatch,51
qwen:F10_Compact_NoShape,sql_feature_tag,order-by,correct,14
qwen:F10_Compact_NoShape,sql_feature_tag,order-by,wrong_denotation,26
qwen:F10_Compact_NoShape,sql_feature_tag,pattern,correct,1
qwen:F10_Compact_NoShape,sql_feature_tag,pattern,wrong_denotation,1
qwen:F10_Compact_NoShape,sql_feature_tag,scalar function,candidate_shape_mismatch,1
qwen:F10_Compact_NoShape,sql_feature_tag,scalar function,correct,1
qwen:F10_Compact_NoShape,sql_feature_tag,self-join,candidate_execution_error,1
qwen:F10_Compact_NoShape,sql_feature_tag,self-join,candidate_shape_mismatch,7
qwen:F10_Compact_NoShape,sql_feature_tag,self-join,correct,1
qwen:F10_Compact_NoShape,sql_feature_tag,time predicate,candidate_shape_mismatch,17
qwen:F10_Compact_NoShape,sql_feature_tag,time predicate,wrong_denotation,13
qwen:F10_Compact_NoShape,sql_feature_tag,top-k,candidate_execution_error,1
qwen:F10_Compact_NoShape,sql_feature_tag,top-k,candidate_shape_mismatch,6
qwen:F10_Compact_NoShape,sql_feature_tag,top-k,wrong_denotation,11
qwen:F10_Compact_NoShape,sql_feature_tag,topology traversal,candidate_execution_error,1
qwen:F10_Compact_NoShape,sql_feature_tag,topology traversal,candidate_shape_mismatch,8
qwen:F10_Compact_NoShape,sql_feature_tag,topology traversal,correct,1
qwen:F10_Compact_NoShape,sql_feature_tag,topology traversal,wrong_denotation,1
qwen:F10_Compact_NoShape,table,asset_types,candidate_execution_error,3
qwen:F10_Compact_NoShape,table,asset_types,candidate_shape_mismatch,3
qwen:F10_Compact_NoShape,table,asset_types,correct,30
qwen:F10_Compact_NoShape,table,asset_types,wrong_denotation,1
qwen:F10_Compact_NoShape,table,assets,candidate_execution_error,22
qwen:F10_Compact_NoShape,table,assets,candidate_shape_mismatch,21
qwen:F10_Compact_NoShape,table,assets,correct,42
qwen:F10_Compact_NoShape,table,assets,wrong_denotation,23
qwen:F10_Compact_NoShape,table,grid_topology,candidate_execution_error,1
qwen:F10_Compact_NoShape,table,grid_topology,candidate_shape_mismatch,8
qwen:F10_Compact_NoShape,table,grid_topology,correct,1
qwen:F10_Compact_NoShape,table,grid_topology,wrong_denotation,1
qwen:F10_Compact_NoShape,table,locations,candidate_execution_error,1
qwen:F10_Compact_NoShape,table,locations,candidate_shape_mismatch,3
qwen:F10_Compact_NoShape,table,locations,correct,44
qwen:F10_Compact_NoShape,table,locations,wrong_denotation,2
qwen:F10_Compact_NoShape,table,maintenance_logs,candidate_shape_mismatch,2
qwen:F10_Compact_NoShape,table,maintenance_logs,correct,2
qwen:F10_Compact_NoShape,table,maintenance_logs,wrong_denotation,2
qwen:F10_Compact_NoShape,table,sensor_readings,candidate_execution_error,1
qwen:F10_Compact_NoShape,table,sensor_readings,candidate_shape_mismatch,7
qwen:F10_Compact_NoShape,table,sensor_readings,correct,2
qwen:F10_Compact_NoShape,table,sensor_readings,wrong_denotation,17
qwen:F10_Compact_NoShape,table,technicians,candidate_shape_mismatch,13
qwen:F10_Compact_NoShape,table,technicians,correct,4
qwen:F10_Compact_NoShape,table,work_orders,candidate_execution_error,19
qwen:F10_Compact_NoShape,table,work_orders,candidate_shape_mismatch,28
qwen:F10_Compact_NoShape,table,work_orders,correct,15
qwen:F10_Compact_NoShape,table,work_orders,wrong_denotation,5
qwen:F11_Compact_WithShape,difficulty,easy,candidate_execution_error,1
qwen:F11_Compact_WithShape,difficulty,easy,correct,55
qwen:F11_Compact_WithShape,difficulty,easy,wrong_denotation,10
qwen:F11_Compact_WithShape,difficulty,hard,candidate_execution_error,3
qwen:F11_Compact_WithShape,difficulty,hard,candidate_shape_mismatch,1
qwen:F11_Compact_WithShape,difficulty,hard,correct,3
qwen:F11_Compact_WithShape,difficulty,hard,wrong_denotation,16
qwen:F11_Compact_WithShape,difficulty,medium,candidate_execution_error,1
qwen:F11_Compact_WithShape,difficulty,medium,candidate_shape_mismatch,1
qwen:F11_Compact_WithShape,difficulty,medium,correct,50
qwen:F11_Compact_WithShape,difficulty,medium,wrong_denotation,39
qwen:F11_Compact_WithShape,order_sensitive,0,correct,54
qwen:F11_Compact_WithShape,order_sensitive,0,wrong_denotation,12
qwen:F11_Compact_WithShape,order_sensitive,1,candidate_execution_error,5
qwen:F11_Compact_WithShape,order_sensitive,1,candidate_shape_mismatch,2
qwen:F11_Compact_WithShape,order_sensitive,1,correct,54
qwen:F11_Compact_WithShape,order_sensitive,1,wrong_denotation,53
qwen:F11_Compact_WithShape,sql_feature_tag,aggregation,candidate_execution_error,2
qwen:F11_Compact_WithShape,sql_feature_tag,aggregation,candidate_shape_mismatch,2
qwen:F11_Compact_WithShape,sql_feature_tag,aggregation,correct,48
