paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,der_readiness,flexibility_ratio,subnet_coverage,kind_diversity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p3,der_siting_sizing,Ablation-FixedDE,ablation,3,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00010610,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Ablation-NoDiversity,ablation,1,0.46666195,0.07069762,0.59089958,0.12324902,0.19240373,0.00372562,1.00000000,1.00000000,1.00000000,0.25000000,0.39954440,0.50092252,0.14170226,7,0.00007440,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Ablation-NoDiversity,ablation,2,0.46666195,0.07069762,0.59089958,0.12324902,0.19240373,0.00372562,1.00000000,1.00000000,1.00000000,0.25000000,0.39954440,0.50092252,0.14170226,7,0.00007350,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Ablation-NoDiversity,ablation,3,0.46666195,0.07069762,0.59089958,0.12324902,0.19240373,0.00372562,1.00000000,1.00000000,1.00000000,0.25000000,0.39954440,0.50092252,0.14170226,7,0.00007200,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Ablation-NoDER,ablation,1,0.39779541,0.11719148,0.74387187,0.12462400,0.17995922,0.00000000,0.32258065,0.00000000,1.00000000,0.25000000,1.00000000,1.00000000,0.12462400,10,0.00004870,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Ablation-NoDER,ablation,2,0.39779541,0.11719148,0.74387187,0.12462400,0.17995922,0.00000000,0.32258065,0.00000000,1.00000000,0.25000000,1.00000000,1.00000000,0.12462400,10,0.00004790,public_simbench_der_storage_stress_v5
p3,der_siting_sizing,Ablation-NoDER,ablation,3,0.39779541,0.11719148,0.74387187,0.12462400,0.17995922,0.00000000,0.32258065,0.00000000,1.00000000,0.25000000,1.00000000,1.00000000,0.12462400,10,0.00004700,public_simbench_der_storage_stress_v5
p3,storage_allocation,CARS-MODE,proposed,1,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00005400,public_simbench_der_storage_stress_v5
p3,storage_allocation,CARS-MODE,proposed,2,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00005150,public_simbench_der_storage_stress_v5
p3,storage_allocation,CARS-MODE,proposed,3,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00005070,public_simbench_der_storage_stress_v5
p3,storage_allocation,NSGA-II,baseline,1,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00009290,public_simbench_der_storage_stress_v5
p3,storage_allocation,NSGA-II,baseline,2,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00009020,public_simbench_der_storage_stress_v5
p3,storage_allocation,NSGA-II,baseline,3,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00009030,public_simbench_der_storage_stress_v5
p3,storage_allocation,MOEA/D,baseline,1,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00010520,public_simbench_der_storage_stress_v5
p3,storage_allocation,MOEA/D,baseline,2,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00009090,public_simbench_der_storage_stress_v5
p3,storage_allocation,MOEA/D,baseline,3,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00009090,public_simbench_der_storage_stress_v5
p3,storage_allocation,Standard DE,baseline,1,0.51745940,0.06700192,0.95972599,0.12109994,0.18240463,0.00295730,0.53763441,0.22222222,1.00000000,0.50000000,0.95060797,1.00000000,0.12109994,9,0.00010840,public_simbench_der_storage_stress_v5
p3,storage_allocation,Standard DE,baseline,2,0.60069424,0.05986254,0.96335045,0.12043589,0.18417377,0.00517290,0.82437276,0.44444444,1.00000000,0.75000000,0.80325643,0.91178576,0.12362314,9,0.00010710,public_simbench_der_storage_stress_v5
p3,storage_allocation,Standard DE,baseline,3,0.52606762,0.06783983,0.86530312,0.11777516,0.18619091,0.00186171,0.63508065,0.25000000,1.00000000,1.00000000,0.81983398,0.93891151,0.11993357,8,0.00011590,public_simbench_der_storage_stress_v5
p3,storage_allocation,PSO,baseline,1,0.58993581,0.06678298,0.91846280,0.11762038,0.18515285,0.00187215,0.85125448,0.44444444,1.00000000,1.00000000,0.76741089,0.89878875,0.12119173,9,0.00010590,public_simbench_der_storage_stress_v5
p3,storage_allocation,PSO,baseline,2,0.58649048,0.06244288,0.88223079,0.12173989,0.18345126,0.00333799,0.78853047,0.44444444,1.00000000,0.75000000,0.81994622,0.93586404,0.12408226,9,0.00010350,public_simbench_der_storage_stress_v5
p3,storage_allocation,PSO,baseline,3,0.54831491,0.06440527,0.81188024,0.12198751,0.18537377,0.00331583,0.72580645,0.37500000,1.00000000,0.75000000,0.79740975,0.90223618,0.12556530,8,0.00011300,public_simbench_der_storage_stress_v5
p3,storage_allocation,GA,baseline,1,0.57805111,0.06189280,0.95739641,0.12009111,0.18553548,0.00480149,0.84677419,0.50000000,1.00000000,0.75000000,0.73184526,0.84144346,0.12580348,8,0.00011210,public_simbench_der_storage_stress_v5
p3,storage_allocation,GA,baseline,2,0.56283489,0.06238868,0.95066394,0.12113648,0.18272852,0.00296658,0.75268817,0.44444444,1.00000000,0.50000000,0.83017791,0.95018841,0.12294668,9,0.00010360,public_simbench_der_storage_stress_v5
p3,storage_allocation,GA,baseline,3,0.54887294,0.06437374,0.81237463,0.12198024,0.18537377,0.00333335,0.72580645,0.37500000,1.00000000,0.75000000,0.79851839,0.90404697,0.12549155,8,0.00011430,public_simbench_der_storage_stress_v5
p3,storage_allocation,Weighted Sum,baseline,1,0.45136867,0.07733066,0.40383498,0.12599887,0.19240373,0.00004059,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007310,public_simbench_der_storage_stress_v5
p3,storage_allocation,Weighted Sum,baseline,2,0.45136867,0.07733066,0.40383498,0.12599887,0.19240373,0.00004059,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007190,public_simbench_der_storage_stress_v5
p3,storage_allocation,Weighted Sum,baseline,3,0.45136867,0.07733066,0.40383498,0.12599887,0.19240373,0.00004059,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007130,public_simbench_der_storage_stress_v5
p3,storage_allocation,Ablation-NoRepair,ablation,1,0.53256641,0.24289685,1.18778483,0.11826260,0.18208908,0.00665392,0.77419355,0.40000000,1.00000000,0.75000000,0.87954983,0.98850929,0.11867028,10,0.00007020,public_simbench_der_storage_stress_v5
p3,storage_allocation,Ablation-NoRepair,ablation,2,0.53256641,0.24289685,1.18778483,0.11826260,0.18208908,0.00665392,0.77419355,0.40000000,1.00000000,0.75000000,0.87954983,0.98850929,0.11867028,10,0.00007070,public_simbench_der_storage_stress_v5
p3,storage_allocation,Ablation-NoRepair,ablation,3,0.53256641,0.24289685,1.18778483,0.11826260,0.18208908,0.00665392,0.77419355,0.40000000,1.00000000,0.75000000,0.87954983,0.98850929,0.11867028,10,0.00007030,public_simbench_der_storage_stress_v5
p3,storage_allocation,Ablation-FixedDE,ablation,1,0.55082061,0.06381508,0.81989813,0.12092478,0.18814318,0.00518228,0.82949309,0.42857143,1.00000000,0.75000000,0.70323452,0.79982898,0.12818647,7,0.00009900,public_simbench_der_storage_stress_v5
p3,storage_allocation,Ablation-FixedDE,ablation,2,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00009980,public_simbench_der_storage_stress_v5
p3,storage_allocation,Ablation-FixedDE,ablation,3,0.56332113,0.06136538,0.96462327,0.11903848,0.18834244,0.00665392,0.96774194,0.57142857,0.83333333,0.75000000,0.63462126,0.73450929,0.12851956,7,0.00012280,public_simbench_der_storage_stress_v5
p3,storage_allocation,Ablation-NoDiversity,ablation,1,0.46666195,0.07069762,0.59089958,0.12324902,0.19240373,0.00372562,1.00000000,1.00000000,1.00000000,0.25000000,0.39954440,0.50092252,0.14170226,7,0.00007430,public_simbench_der_storage_stress_v5
p3,storage_allocation,Ablation-NoDiversity,ablation,2,0.46666195,0.07069762,0.59089958,0.12324902,0.19240373,0.00372562,1.00000000,1.00000000,1.00000000,0.25000000,0.39954440,0.50092252,0.14170226,7,0.00007240,public_simbench_der_storage_stress_v5
p3,storage_allocation,Ablation-NoDiversity,ablation,3,0.46666195,0.07069762,0.59089958,0.12324902,0.19240373,0.00372562,1.00000000,1.00000000,1.00000000,0.25000000,0.39954440,0.50092252,0.14170226,7,0.00007150,public_simbench_der_storage_stress_v5
p3,storage_allocation,Ablation-NoDER,ablation,1,0.39779541,0.11719148,0.74387187,0.12462400,0.17995922,0.00000000,0.32258065,0.00000000,1.00000000,0.25000000,1.00000000,1.00000000,0.12462400,10,0.00004820,public_simbench_der_storage_stress_v5
