paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p3,load_growth_expansion,CARS-MODE,proposed,2,0.51724387,0.02537353,0.96242183,0.12006557,0.18537353,0.00085589,0.79316894,0.89610384,0.12380788,8,0.00006170,public_simbench_planning_v1
p3,load_growth_expansion,CARS-MODE,proposed,3,0.51724387,0.02537353,0.96242183,0.12006557,0.18537353,0.00085589,0.79316894,0.89610384,0.12380788,8,0.00006350,public_simbench_planning_v1
p3,load_growth_expansion,NSGA-II,baseline,1,0.47926288,0.02814318,0.81989813,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00011310,public_simbench_planning_v1
p3,load_growth_expansion,NSGA-II,baseline,2,0.47804974,0.02818073,0.81910710,0.12093487,0.18818073,0.00091880,0.70018574,0.79530201,0.12836141,7,0.00010500,public_simbench_planning_v1
p3,load_growth_expansion,NSGA-II,baseline,3,0.47804974,0.02818073,0.81910710,0.12093487,0.18818073,0.00091880,0.70018574,0.79530201,0.12836141,7,0.00010240,public_simbench_planning_v1
p3,load_growth_expansion,MOEA/D,baseline,1,0.47804974,0.02818073,0.81910710,0.12093487,0.18818073,0.00091880,0.70018574,0.79530201,0.12836141,7,0.00010770,public_simbench_planning_v1
p3,load_growth_expansion,MOEA/D,baseline,2,0.47804974,0.02818073,0.81910710,0.12093487,0.18818073,0.00091880,0.70018574,0.79530201,0.12836141,7,0.00011030,public_simbench_planning_v1
p3,load_growth_expansion,MOEA/D,baseline,3,0.47926288,0.02814318,0.81989813,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00011170,public_simbench_planning_v1
p3,load_growth_expansion,Standard DE,baseline,1,0.46034966,0.02710512,0.87305781,0.12076999,0.18710512,0.00092315,0.65081142,0.75970622,0.12947608,8,0.00014320,public_simbench_planning_v1
p3,load_growth_expansion,Standard DE,baseline,2,0.47926288,0.02814318,0.81989813,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00013580,public_simbench_planning_v1
p3,load_growth_expansion,Standard DE,baseline,3,0.52234790,0.02417377,0.96335045,0.12043589,0.18417377,0.00091963,0.80325643,0.91178576,0.12362314,9,0.00011830,public_simbench_planning_v1
p3,load_growth_expansion,PSO,baseline,1,0.48361591,0.02694318,0.87758884,0.12075172,0.18694318,0.00092233,0.71102645,0.81255581,0.12754198,8,0.00012550,public_simbench_planning_v1
p3,load_growth_expansion,PSO,baseline,2,0.46513787,0.02642016,0.88443223,0.12071279,0.18642016,0.00092045,0.66139854,0.77426950,0.12888736,8,0.00013240,public_simbench_planning_v1
p3,load_growth_expansion,PSO,baseline,3,0.42682008,0.02970438,0.80911642,0.12060109,0.18970438,0.00085671,0.56966819,0.67392091,0.13239874,6,0.00014370,public_simbench_planning_v1
p3,load_growth_expansion,GA,baseline,1,0.45975606,0.02761993,0.88300922,0.12034974,0.18761993,0.00085360,0.65020240,0.75677679,0.12913129,7,0.00013900,public_simbench_planning_v1
p3,load_growth_expansion,GA,baseline,2,0.52066757,0.02742822,0.86308908,0.11742220,0.18742822,0.00026163,0.80558907,0.91689183,0.12034983,7,0.00013360,public_simbench_planning_v1
p3,load_growth_expansion,GA,baseline,3,0.48741538,0.02899787,0.87203559,0.11672979,0.18899787,0.00065718,0.72150133,0.83016656,0.12267718,7,0.00013160,public_simbench_planning_v1
p3,load_growth_expansion,Weighted Sum,baseline,1,0.35893919,0.03240373,0.40383498,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00008470,public_simbench_planning_v1
p3,load_growth_expansion,Weighted Sum,baseline,2,0.35893919,0.03240373,0.40383498,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00007580,public_simbench_planning_v1
p3,load_growth_expansion,Weighted Sum,baseline,3,0.35893919,0.03240373,0.40383498,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00008280,public_simbench_planning_v1
p3,load_growth_expansion,Ablation-NoRepair,ablation,1,0.46967798,0.20987391,1.18778483,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00007630,public_simbench_planning_v1
p3,load_growth_expansion,Ablation-NoRepair,ablation,2,0.46967798,0.20987391,1.18778483,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00007460,public_simbench_planning_v1
p3,load_growth_expansion,Ablation-NoRepair,ablation,3,0.46967798,0.20987391,1.18778483,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00009320,public_simbench_planning_v1
p3,load_growth_expansion,Ablation-FixedDE,ablation,1,0.51298607,0.02605873,0.89428531,0.12066615,0.18605873,0.00092129,0.78487737,0.88449565,0.12484739,8,0.00008170,public_simbench_planning_v1
p3,load_growth_expansion,Ablation-FixedDE,ablation,2,0.51176391,0.02609628,0.89349429,0.12067625,0.18609628,0.00091880,0.78182860,0.87996868,0.12502172,8,0.00008060,public_simbench_planning_v1
p3,load_growth_expansion,Ablation-FixedDE,ablation,3,0.47926288,0.02814318,0.81989813,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00012480,public_simbench_planning_v1
p3,load_growth_expansion,Ablation-NoDiversity,ablation,1,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00007220,public_simbench_planning_v1
