actual_words,budget_utilization,condition,doc_id,estimated_total_seconds,preprocess_seconds_shared,python_peak_memory_mb,redundancy,report_series_id,role_coverage,rouge1_f1,rouge2_f1,rougeL_f1,selected_units,selection_and_scoring_seconds,status,typed_edge_coverage,word_budget
108,0.9818181818181818,RP-01,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.407749000005424,0.03585370001383126,1.958449363708496,0.06996658312447786,series_solar_pv,0.3333333333333333,0.09371980676328502,0.041586073500967116,0.05217391304347826,3,0.37189529999159276,PASS,1.0,110
108,0.9818181818181818,RP-11,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.4042044000234455,0.03585370001383126,1.9720497131347656,0.05704582773548291,series_solar_pv,1.0,0.09464027040077257,0.04349927501208313,0.05601158860453887,3,0.36835070000961423,PASS,1.0,110
106,0.9636363636363636,G-U,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.4036754999542609,0.04382449999684468,1.9275426864624023,0.08527283253727024,series_solar_pv,1.0,0.08413926499032881,0.031945788964181994,0.05125725338491296,3,0.3598509999574162,PASS,1.0,110
109,0.990909090909091,G-T,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.4012267999933101,0.03585370001383126,1.9428482055664062,0.08637854799600626,series_solar_pv,1.0,0.08699855002416627,0.029995162070633772,0.05026582890285162,3,0.36537309997947887,PASS,1.0,110
253,0.9730769230769231,AB-0,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.805561300017871,0.03585370001383126,4.161874771118164,0.11603916980538465,series_solar_pv,0.6666666666666666,0.19404332129963897,0.07859078590785908,0.09476534296028881,7,0.7697076000040397,PASS,0.8571428571428571,260
257,0.9884615384615385,AB-1,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.8215593000059016,0.03585370001383126,4.218273162841797,0.09470021679187954,series_solar_pv,1.0,0.19369369369369366,0.07844905320108206,0.08738738738738738,7,0.7857055999920703,PASS,0.8571428571428571,260
257,0.9884615384615385,AB-2,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.8207190000102855,0.03585370001383126,4.217531204223633,0.09470021679187954,series_solar_pv,1.0,0.19369369369369366,0.07844905320108206,0.08738738738738738,7,0.7848652999964543,PASS,0.8571428571428571,260
256,0.9846153846153847,AB-3,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.8068984000128694,0.03585370001383126,4.186890602111816,0.08114876038168593,series_solar_pv,1.0,0.1956717763751127,0.0776173285198556,0.08836789900811544,6,0.7710446999990381,PASS,1.0,260
256,0.9846153846153847,AB-4,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.8055159999639727,0.03585370001383126,4.186867713928223,0.08114876038168593,series_solar_pv,1.0,0.1956717763751127,0.0776173285198556,0.08836789900811544,6,0.7696622999501415,PASS,1.0,260
255,0.9807692307692307,AB-5,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.8099517000373453,0.03585370001383126,4.1723785400390625,0.06076257498054124,series_solar_pv,1.0,0.1975642760487145,0.07674943566591422,0.08570139828597204,6,0.774098000023514,PASS,1.0,260
259,0.9961538461538462,AB-6,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.8454073000466451,0.03585370001383126,4.261853218078613,0.06205812876191704,series_solar_pv,1.0,0.19973009446693657,0.08734804142278255,0.09446693657219972,7,0.8095536000328138,PASS,1.0,260
257,0.9884615384615385,RP-00,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.8466043000225909,0.03585370001383126,4.261247634887695,0.08732175577686983,series_solar_pv,0.6666666666666666,0.20242914979757085,0.09095002251238181,0.09986504723346828,7,0.8107506000087596,PASS,1.0,260
259,0.9961538461538462,RP-10,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.8398103000363335,0.03585370001383126,4.262066841125488,0.06205812876191704,series_solar_pv,1.0,0.19973009446693657,0.08734804142278255,0.09446693657219972,7,0.8039566000225022,PASS,1.0,260
260,1.0,RP-01,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.8636250999988988,0.03585370001383126,4.2918291091918945,0.04612346603573283,series_solar_pv,0.6666666666666666,0.20584269662921348,0.09086819613135402,0.09348314606741573,7,0.8277713999850675,PASS,1.0,260
255,0.9807692307692307,RP-11,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.9376704000169411,0.03585370001383126,4.170257568359375,0.06076257498054124,series_solar_pv,1.0,0.1975642760487145,0.07674943566591422,0.08570139828597204,6,0.9018167000031099,PASS,1.0,260
257,0.9884615384615385,G-U,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.8545829000067897,0.04382449999684468,4.255289077758789,0.09470021679187954,series_solar_pv,1.0,0.19369369369369366,0.07844905320108206,0.08738738738738738,7,0.810758400009945,PASS,0.8571428571428571,260
259,0.9961538461538462,G-T,nerc_018_900_mw_solar_photovoltaic_resource_interru,0.841914499993436,0.03585370001383126,4.262066841125488,0.06205812876191704,series_solar_pv,1.0,0.19973009446693657,0.08734804142278255,0.09446693657219972,7,0.8060607999796048,PASS,1.0,260
110,1.0,AB-0,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.2903626000043005,0.10724199999822304,0.940089225769043,0.1717687074829932,series_solar_pv,0.3333333333333333,0.128,0.03807615230460922,0.068,3,0.18312060000607744,PASS,1.0,110
109,0.990909090909091,AB-1,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.28927990002557635,0.10724199999822304,0.8997249603271484,0.05852685901946986,series_solar_pv,0.6666666666666666,0.156,0.04408817635270541,0.096,3,0.18203790002735332,PASS,1.0,110
110,1.0,AB-2,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.28307330003008246,0.10724199999822304,0.913090705871582,0.05172413793103448,series_solar_pv,1.0,0.16367265469061876,0.046,0.09580838323353294,3,0.17583130003185943,PASS,1.0,110
109,0.990909090909091,AB-3,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.27942219999386,0.10724199999822304,0.8993625640869141,0.034482758620689655,series_solar_pv,1.0,0.154,0.052104208416833664,0.076,3,0.17218019999563694,PASS,1.0,110
109,0.990909090909091,AB-4,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.27696789999026805,0.10724199999822304,0.8993625640869141,0.034482758620689655,series_solar_pv,1.0,0.154,0.052104208416833664,0.076,3,0.16972589999204502,PASS,1.0,110
109,0.990909090909091,AB-5,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.27820330002577975,0.10724199999822304,0.8993625640869141,0.034482758620689655,series_solar_pv,1.0,0.154,0.052104208416833664,0.076,3,0.17096130002755672,PASS,1.0,110
109,0.990909090909091,AB-6,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.2776166999829002,0.10724199999822304,0.8993625640869141,0.034482758620689655,series_solar_pv,1.0,0.154,0.052104208416833664,0.076,3,0.17037469998467714,PASS,1.0,110
107,0.9727272727272728,RP-00,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.29029350000200793,0.10724199999822304,0.8784990310668945,0.035319662863603656,series_solar_pv,0.6666666666666666,0.15245737211634905,0.044221105527638194,0.08625877632898697,3,0.1830515000037849,PASS,1.0,110
109,0.990909090909091,RP-10,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.2773829000070691,0.10724199999822304,0.8993625640869141,0.034482758620689655,series_solar_pv,1.0,0.154,0.052104208416833664,0.076,3,0.17014090000884607,PASS,1.0,110
107,0.9727272727272728,RP-01,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.29265289998147637,0.10724199999822304,0.8784990310668945,0.035319662863603656,series_solar_pv,0.6666666666666666,0.15245737211634905,0.044221105527638194,0.08625877632898697,3,0.18541089998325333,PASS,1.0,110
109,0.990909090909091,RP-11,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.2805841999943368,0.10724199999822304,0.8993625640869141,0.034482758620689655,series_solar_pv,1.0,0.154,0.052104208416833664,0.076,3,0.17334219999611378,PASS,1.0,110
110,1.0,G-U,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.29710159997921437,0.12215000001015142,0.9129304885864258,0.05172413793103448,series_solar_pv,1.0,0.16367265469061876,0.046,0.09580838323353294,3,0.17495159996906295,PASS,1.0,110
109,0.990909090909091,G-T,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.27810140000656247,0.10724199999822304,0.8993625640869141,0.034482758620689655,series_solar_pv,1.0,0.154,0.052104208416833664,0.076,3,0.17085940000833943,PASS,1.0,110
259,0.9961538461538462,AB-0,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.47282319999067113,0.10724199999822304,1.9453010559082031,0.08452147325043557,series_solar_pv,0.3333333333333333,0.29365768896611644,0.07310704960835508,0.1251086012163336,5,0.3655811999924481,PASS,0.8,260
258,0.9923076923076923,AB-1,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.47494330001063645,0.10724199999822304,1.9258804321289062,0.12559560275896395,series_solar_pv,0.6666666666666666,0.288946910356832,0.09241499564080209,0.12706701479547433,6,0.3677013000124134,PASS,1.0,260
259,0.9961538461538462,AB-2,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.4715699999942444,0.10724199999822304,1.933359146118164,0.08623878107175582,series_solar_pv,1.0,0.2991304347826087,0.09407665505226481,0.12695652173913044,7,0.3643279999960214,PASS,1.0,260
260,1.0,AB-3,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.475347800005693,0.10724199999822304,1.9406890869140625,0.07614882872313743,series_solar_pv,1.0,0.29887054735013036,0.0835509138381201,0.1268462206776716,7,0.36810580000746995,PASS,0.8571428571428571,260
260,1.0,AB-4,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.4807909000082873,0.10724199999822304,1.940561294555664,0.06272664844944754,series_solar_pv,1.0,0.32841007819287577,0.10791993037423848,0.1251086012163336,8,0.37354890001006424,PASS,0.875,260
260,1.0,AB-5,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.4756690000067465,0.10724199999822304,1.9567012786865234,0.05340904682186671,series_solar_pv,1.0,0.31652173913043474,0.09233449477351917,0.13391304347826086,6,0.36842700000852346,PASS,1.0,260
260,1.0,AB-6,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.4827170000062324,0.10724199999822304,1.939605712890625,0.07614882872313743,series_solar_pv,1.0,0.29887054735013036,0.0835509138381201,0.1268462206776716,7,0.3754750000080094,PASS,0.8571428571428571,260
260,1.0,RP-00,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.5018244999810122,0.10724199999822304,1.9443655014038086,0.06430956247436669,series_solar_pv,0.6666666666666666,0.3095652173913044,0.09930313588850175,0.13043478260869565,8,0.39458249998278916,PASS,0.875,260
260,1.0,RP-10,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.4819389999611303,0.10724199999822304,1.939605712890625,0.07614882872313743,series_solar_pv,1.0,0.29887054735013036,0.0835509138381201,0.1268462206776716,7,0.3746969999629073,PASS,0.8571428571428571,260
256,0.9846153846153847,RP-01,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,0.48607679997803643,0.10724199999822304,1.9085397720336914,0.06742811610170348,series_solar_pv,0.6666666666666666,0.30541012216404884,0.0979020979020979,0.12914485165794068,7,0.3788347999798134,PASS,1.0,260
