doc_id,report_series_id,variant,budget,selected_sentence_ids,selection_overlap_with_production,rouge1_f1,rouge2_f1,rougeL_f1,redundancy
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,production_256,5,s00026|s00028|s00031|s00038|s00045,1.0,0.35447761194029853,0.09363295880149812,0.16791044776119401,0.06078391732566061
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,production_256,10,s00014|s00017|s00020|s00026|s00028|s00031|s00035|s00038|s00045|s00046,1.0,0.41379310344827586,0.11815561959654178,0.1867816091954023,0.06908784926931341
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,extended_512,5,s00026|s00028|s00031|s00038|s00045,1.0,0.35447761194029853,0.09363295880149812,0.16791044776119401,0.06078391732566061
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,extended_512,10,s00014|s00017|s00020|s00026|s00028|s00031|s00035|s00038|s00045|s00046,1.0,0.41379310344827586,0.11815561959654178,0.1867816091954023,0.06908784926931341
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,chunk_mean_254,5,s00026|s00028|s00031|s00038|s00045,1.0,0.35447761194029853,0.09363295880149812,0.16791044776119401,0.06078391732566061
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,chunk_mean_254,10,s00014|s00017|s00020|s00026|s00028|s00031|s00035|s00038|s00045|s00046,1.0,0.41379310344827586,0.11815561959654178,0.1867816091954023,0.06908784926931341
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,production_256,5,s00447|s00463|s00474|s00542|s00575,1.0,0.10993513144417891,0.019132217287324907,0.04506657562307956,0.0377139986707178
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,production_256,10,s00010|s00310|s00340|s00414|s00447|s00463|s00474|s00540|s00542|s00575,1.0,0.21414913957934992,0.0586734693877551,0.07966857871255577,0.0522776697326957
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,extended_512,5,s00447|s00463|s00474|s00542|s00575,1.0,0.10993513144417891,0.019132217287324907,0.04506657562307956,0.0377139986707178
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,extended_512,10,s00010|s00310|s00340|s00414|s00447|s00463|s00474|s00540|s00542|s00575,1.0,0.21414913957934992,0.0586734693877551,0.07966857871255577,0.0522776697326957
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,chunk_mean_254,5,s00447|s00463|s00474|s00542|s00575,1.0,0.10993513144417891,0.019132217287324907,0.04506657562307956,0.0377139986707178
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,chunk_mean_254,10,s00010|s00310|s00340|s00414|s00447|s00463|s00474|s00540|s00542|s00575,1.0,0.21414913957934992,0.0586734693877551,0.07966857871255577,0.0522776697326957
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,production_256,5,s00067|s00794|s01006|s01067|s01214,1.0,0.06700266824785057,0.01483239394838327,0.03676252594129855,0.0604712871044802
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,production_256,10,s00067|s00098|s00224|s00495|s00776|s00794|s01006|s01067|s01214|s01428,1.0,0.13544913573250214,0.035157357527643894,0.06064040804760555,0.07356571189366845
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,extended_512,5,s00067|s00794|s01006|s01067|s01214,1.0,0.06700266824785057,0.01483239394838327,0.03676252594129855,0.0604712871044802
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,extended_512,10,s00067|s00098|s00224|s00495|s00776|s00794|s01006|s01067|s01214|s01428,1.0,0.13544913573250214,0.035157357527643894,0.06064040804760555,0.07356571189366845
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,chunk_mean_254,5,s00067|s00794|s01006|s01067|s01214,1.0,0.06700266824785057,0.01483239394838327,0.03676252594129855,0.0604712871044802
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,chunk_mean_254,10,s00067|s00098|s00224|s00495|s00776|s00794|s01006|s01067|s01214|s01428,1.0,0.13544913573250214,0.035157357527643894,0.06064040804760555,0.07356571189366845
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,production_256,5,s00338|s00351|s00392|s01212|s01331,1.0,0.23874195854181557,0.04438081603435934,0.11007862759113653,0.060990623886272834
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,production_256,10,s00190|s00338|s00351|s00392|s00508|s00728|s00913|s01138|s01212|s01331,1.0,0.3571428571428571,0.06288532675709001,0.13669950738916256,0.06747596017915004
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,extended_512,5,s00338|s00351|s00392|s01212|s01331,1.0,0.23874195854181557,0.04438081603435934,0.11007862759113653,0.060990623886272834
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,extended_512,10,s00190|s00338|s00351|s00392|s00508|s00728|s00913|s01138|s01212|s01331,1.0,0.3571428571428571,0.06288532675709001,0.13669950738916256,0.06747596017915004
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,chunk_mean_254,5,s00010|s00084|s00914|s01165|s01510,0.0,0.1778496362166532,0.024291497975708502,0.08730800323362975,0.061103289090952584
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,chunk_mean_254,10,s00010|s00048|s00084|s00914|s01165|s01263|s01510|s01669|s01829|s01839,0.0,0.3040112596762843,0.05214940098661029,0.13089373680506688,0.06248907119593096
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,production_256,5,s00394|s00518|s01055|s01175|s01225,1.0,0.2158626328699918,0.052416052416052426,0.10139002452984464,0.0584190593409331
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,production_256,10,s00394|s00518|s00532|s00672|s01025|s01055|s01175|s01225|s01264|s01512,1.0,0.3674242424242425,0.07079646017699115,0.12247474747474749,0.04836313616226298
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,extended_512,5,s00394|s00518|s01055|s01175|s01225,1.0,0.2158626328699918,0.052416052416052426,0.10139002452984464,0.0584190593409331
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,extended_512,10,s00394|s00518|s00532|s00672|s01025|s01055|s01175|s01225|s01264|s01512,1.0,0.3674242424242425,0.07079646017699115,0.12247474747474749,0.04836313616226298
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,chunk_mean_254,5,s00394|s00518|s01055|s01175|s01225,1.0,0.2158626328699918,0.052416052416052426,0.10139002452984464,0.0584190593409331
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,chunk_mean_254,10,s00394|s00518|s00532|s00672|s01025|s01055|s01175|s01225|s01264|s01512,1.0,0.3674242424242425,0.07079646017699115,0.12247474747474749,0.04836313616226298
