doc_id,report_series_id,condition,word_budget,selected_sentence_count,used_words,unused_words,selected_sentence_ids,rouge1_f1,rouge2_f1,rougeL_f1
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,textrank,110,3,91,19,s00316|s00326|s00331,0.11853720050441363,0.007585335018963337,0.07313997477931904
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,textrank,260,8,236,24,s00316|s00326|s00327|s00328|s00330|s00331|s00356|s00357,0.19402985074626866,0.010683760683760684,0.11727078891257994
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,semantic_mmr,110,5,93,17,s00050|s00069|s00109|s00190|s00327,0.15345911949685537,0.030264817150063048,0.08301886792452831
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,semantic_mmr,260,6,257,3,s00050|s00069|s00101|s00109|s00275|s00327,0.32331606217616576,0.08307372793354102,0.12849740932642487
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,role,110,2,107,3,s00195|s00254,0.1433868974042027,0.0322180916976456,0.08405438813349815
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,role,260,4,251,9,s00195|s00199|s00204|s00209,0.2329485834207765,0.031545741324921134,0.10493179433368312
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,graph_no_cf_strict,110,3,97,13,s00173|s00204|s00216,0.16270337922403003,0.03764115432873275,0.08010012515644556
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,graph_no_cf_strict,260,4,243,17,s00101|s00173|s00204|s00272,0.344973544973545,0.10816542948038177,0.1544973544973545
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,c2ges_full,110,4,102,8,s00173|s00204|s00284|s00287,0.17910447761194032,0.04239401496259352,0.08955223880597016
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,c2ges_full,260,6,259,1,s00101|s00173|s00204|s00216|s00284|s00287,0.32882414151925077,0.08342022940563086,0.12903225806451613
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,lead,110,5,106,4,s00001|s00002|s00003|s00004|s00005,0.11500330469266357,0.04765056254136334,0.07402511566424322
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,lead,260,9,253,7,s00001|s00002|s00003|s00004|s00005|s00006|s00007|s00008|s00009,0.24457831325301205,0.10253317249698432,0.12048192771084337
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,centroid,110,3,104,6,s00020|s00104|s00112,0.11647915287888816,0.05168986083499007,0.07809397749834546
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,centroid,260,6,257,3,s00020|s00021|s00104|s00112|s00152|s00362,0.24278846153846154,0.10228640192539108,0.12740384615384615
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,textrank,110,4,104,6,s00020|s00104|s00380|s00387,0.1270681667769689,0.05301524188204109,0.08074123097286565
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,textrank,260,9,256,4,s00020|s00023|s00079|s00104|s00112|s00150|s00362|s00380|s00387,0.26337943475646425,0.12040939193257075,0.13710162357185807
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,semantic_mmr,110,2,110,0,s00021|s00199,0.10942649967040212,0.042244224422442245,0.06855636123928809
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,semantic_mmr,260,7,252,8,s00021|s00126|s00199|s00226|s00277|s00388|s00390,0.23387582881253768,0.07845503922751962,0.10126582278481013
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,role,110,3,105,5,s00009|s00014|s00295,0.10449735449735448,0.04768211920529801,0.07142857142857144
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,role,260,6,257,3,s00009|s00014|s00016|s00044|s00261|s00295,0.24278846153846154,0.09145607701564382,0.12139423076923077
