paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,preference_achievement_distance,runtime_s,source_status
p6,budget_constrained_selection,NSGA-II,baseline,24,0.16243250,40,0.96861749,22.16022831,59.40701797,0.28425778,12,0,0,0.00000000,nan,0.081331,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,25,0.15079809,40,0.99790137,20.58604675,9.26203045,0.28219943,10,0,0,0.00000000,nan,0.081954,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,26,0.17014404,40,0.93567140,23.97375981,11.04419781,0.28364112,12,0,0,0.00000000,nan,0.081172,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,27,0.16359052,40,0.96568300,22.53957473,12.59090428,0.30100934,10,0,0,0.00000000,nan,0.082503,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,28,0.15558629,40,0.92592633,21.28317960,2.70973033,0.26059953,12,0,0,0.00000000,nan,0.079797,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,29,0.14828190,40,0.86897402,19.49472278,23.01500833,0.27367221,11,0,0,0.00000000,nan,0.081085,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,0,0.13540159,40,0.87690095,17.49323405,35.91821021,0.26020866,11,0,0,0.00000000,nan,0.108774,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,1,0.14989674,40,0.95028328,20.36756489,30.81674617,0.26524953,12,0,0,0.00000000,nan,0.100698,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,2,0.15897227,40,0.87320082,21.96967275,33.39152113,0.29297213,11,0,0,0.00000000,nan,0.104439,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,3,0.15132484,40,0.70049673,20.80765256,20.87780644,0.31796593,9,0,0,0.00000000,nan,0.100762,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,4,0.13305084,40,0.84289784,17.41230944,2.81395868,0.25073594,11,0,0,0.00000000,nan,0.101307,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,5,0.14660520,40,0.96671466,19.68527833,54.35194517,0.26656620,12,0,0,0.00000000,nan,0.101191,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,6,0.15013662,40,0.53666651,20.29183582,0.02766960,0.36069906,7,0,0,0.00000000,nan,0.102924,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,7,0.14051649,40,0.93756405,18.57490147,14.28599437,0.24624127,12,0,0,0.00000000,nan,0.101280,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,8,0.15065852,40,0.97463934,20.31904058,14.61282617,0.27261620,12,0,0,0.00000000,nan,0.102907,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,9,0.14198605,40,0.92403151,18.82661480,10.46589221,0.24825794,12,0,0,0.00000000,nan,0.104754,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,10,0.14510835,40,0.84971689,19.28226270,1.37669321,0.25589957,11,0,0,0.00000000,nan,0.102289,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,11,0.12888424,40,0.99198652,16.84337767,38.71431237,0.25624127,12,0,0,0.00000000,nan,0.102597,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,12,0.15695336,40,0.97221687,21.44961360,59.95573697,0.28557445,12,0,0,0.00000000,nan,0.104161,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,13,0.15849571,40,0.86915002,21.94134460,28.76736113,0.29297213,11,0,0,0.00000000,nan,0.101547,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-III,baseline,14,0.16254603,40,0.84093388,22.78666494,1.81834528,0.28789940,11,0,0,0.00000000,nan,0.101025,public_rts_simbench_nerc_project_review_v3_direct_family_controls
