doc_id,report_series_id,budget,variant,selected_sentence_ids,rouge1_f1,rouge2_f1,rougeL_f1,redundancy,overlap_with_full,overlap_with_historical_strict,normalized_vs_strict_changed
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,10,historical_strict_no_path,s00101|s00150|s00173|s00199|s00204|s00211|s00216|s00272|s00326|s00400,0.4139900071377588,0.10721944245889921,0.16702355460385437,0.05247404962294263,0.7,1.0,0
nerc_015_polar_vortex_review,nerc_015_polar_vortex_review,10,normalized_no_path,s00101|s00150|s00173|s00199|s00204|s00211|s00216|s00272|s00326|s00400,0.4139900071377588,0.10721944245889921,0.16702355460385437,0.05247404962294263,0.7,1.0,0
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,5,full,s00009|s00016|s00044|s00318|s00350,0.2759022118742724,0.08275058275058277,0.1362048894062864,0.04487316107790363,1.0,0.8,1
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,5,historical_strict_no_path,s00009|s00012|s00016|s00044|s00350,0.2660388463802236,0.0836770771950501,0.1318422601530312,0.05370028298805639,0.8,1.0,1
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,5,normalized_no_path,s00009|s00016|s00044|s00347|s00350,0.2906574394463668,0.09584295612009239,0.13956170703575546,0.06870038660143019,0.8,0.8,1
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,10,full,s00009|s00014|s00016|s00044|s00318|s00328|s00340|s00347|s00350|s00364,0.3967027305512622,0.12996389891696752,0.1586810922205049,0.04503997723438839,1.0,0.7,0
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,10,historical_strict_no_path,s00009|s00012|s00014|s00016|s00021|s00044|s00115|s00347|s00350|s00364,0.4016563146997929,0.14507772020725387,0.16149068322981366,0.06538248614165801,0.7,1.0,0
nerc_030_winter_storm_elliott_recommendation_3_blac,series_winter_storm_elliott,10,normalized_no_path,s00009|s00012|s00014|s00016|s00021|s00044|s00115|s00347|s00350|s00364,0.4016563146997929,0.14507772020725387,0.16149068322981366,0.06538248614165801,0.7,1.0,0
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,5,full,s00013|s00030|s00038|s00045|s00046,0.3670668953687822,0.10327022375215146,0.18524871355060032,0.07777217091326938,1.0,0.8,0
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,5,historical_strict_no_path,s00009|s00013|s00038|s00045|s00046,0.3547297297297297,0.09491525423728815,0.16891891891891891,0.10111970430191253,0.8,1.0,0
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,5,normalized_no_path,s00009|s00013|s00038|s00045|s00046,0.3547297297297297,0.09491525423728815,0.16891891891891891,0.10111970430191253,0.8,1.0,0
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,10,full,s00009|s00013|s00017|s00019|s00020|s00030|s00038|s00045|s00046|s00050,0.4339869281045751,0.13368283093053734,0.19607843137254904,0.06574886140531354,1.0,1.0,0
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,10,historical_strict_no_path,s00009|s00013|s00017|s00019|s00020|s00030|s00038|s00045|s00046|s00050,0.4339869281045751,0.13368283093053734,0.19607843137254904,0.06574886140531354,1.0,1.0,0
nerc_032_winter_storm_elliott_recommendation_11_eip,series_winter_storm_elliott,10,normalized_no_path,s00009|s00013|s00017|s00019|s00020|s00030|s00038|s00045|s00046|s00050,0.4339869281045751,0.13368283093053734,0.19607843137254904,0.06574886140531354,1.0,1.0,0
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,5,full,s00020|s00124|s00197|s00262|s00646,0.18801179168031446,0.04785316289741069,0.07795610874549623,0.05819481094059588,1.0,0.6,0
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,5,historical_strict_no_path,s00124|s00150|s00262|s00577|s00646,0.20144790683034308,0.0415748031496063,0.08183821214982688,0.11868707790141939,0.6,1.0,0
