cap,horizon_hours,method,method_role,selection_objective,blend_mode,n_seeds,mean_alpha_head,mean_checkpoint_epoch,mean_ridge_lambda,mean_curtailment_mae,std_curtailment_mae,mean_curtailment_rmse,std_curtailment_rmse,mean_event_f1,std_event_f1,mean_onset_f1,std_onset_f1,mean_onset_mae,std_onset_mae,mean_stress_subset_mae,std_stress_subset_mae
0.80,1,Ridge,baseline,onset_f1,not_applicable,1,NA,NA,1e-06,0.0093962032,0.0000000000,0.0363178538,0.0000000000,0.5192307692,0.0000000000,0.1413427562,0.0000000000,0.0463915506,0.0000000000,0.0280042495,0.0000000000
0.80,24,GRU-LSR,proposed,mae,selected,10,0.00000000,15.0000,NA,0.0079053461,0.0001107517,0.0278507179,0.0002584970,0.0000000000,0.0000000000,0.1921096084,0.0173117377,0.0983368865,0.0010177440,0.0207070938,0.0002214130
0.80,24,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,10,0.00000000,15.0000,NA,0.0079053461,0.0001107517,0.0278507179,0.0002584970,0.0000000000,0.0000000000,0.1921096084,0.0173117377,0.0983368865,0.0010177440,0.0207070938,0.0002214130
0.80,24,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,10,0.50000000,15.0000,NA,0.0086165283,0.0002525088,0.0273507056,0.0001584915,0.0000000000,0.0000000000,0.1622720034,0.0211071817,0.0989533143,0.0009383124,0.0212189839,0.0002816831
0.80,24,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,10,1.00000000,15.0000,NA,0.0093726338,0.0005635726,0.0276042617,0.0001741274,0.0000000000,0.0000000000,0.1359755438,0.0132032354,0.0998392380,0.0018103478,0.0218692478,0.0006175887
0.80,24,Ridge,baseline,mae,not_applicable,1,NA,NA,1,0.0091109368,0.0000000000,0.0275652870,0.0000000000,0.0000000000,0.0000000000,0.1739130435,0.0000000000,0.0995432900,0.0000000000,0.0222502363,0.0000000000
0.80,24,DirectPolicyTransform-Privileged,privileged_control,not_applicable,not_applicable,1,NA,NA,NA,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.8075117371,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.80,24,Persistence,baseline,not_applicable,not_applicable,1,NA,NA,NA,0.0080446881,0.0000000000,0.0341433817,0.0000000000,0.1746031746,0.0000000000,0.0000000000,0.0000000000,0.1115366187,0.0000000000,0.0235254030,0.0000000000
0.80,24,Seasonal-24h,baseline,not_applicable,not_applicable,1,NA,NA,NA,0.0080446881,0.0000000000,0.0341433817,0.0000000000,0.1746031746,0.0000000000,0.0000000000,0.0000000000,0.1115366187,0.0000000000,0.0235254030,0.0000000000
0.80,24,GRU-LSR,proposed,onset_f1,selected,10,1.00000000,5.0000,NA,0.0092918207,0.0008064279,0.0273880546,0.0002160714,0.0000000000,0.0000000000,0.1335015835,0.0124458547,0.1000693373,0.0013948384,0.0220095700,0.0007475585
0.80,24,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,10,0.00000000,5.0000,NA,0.0079046692,0.0000959068,0.0278288011,0.0002402224,0.0000000000,0.0000000000,0.1914928299,0.0170814423,0.0982237891,0.0011535880,0.0206873212,0.0002003016
0.80,24,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,10,0.50000000,5.0000,NA,0.0085705344,0.0004010622,0.0271982918,0.0001043387,0.0000000000,0.0000000000,0.1708996753,0.0186191802,0.0989951192,0.0006046433,0.0212714316,0.0003789500
0.80,24,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,10,1.00000000,5.0000,NA,0.0092918207,0.0008064279,0.0273880546,0.0002160714,0.0000000000,0.0000000000,0.1335015835,0.0124458547,0.1000693373,0.0013948384,0.0220095700,0.0007475585
0.80,24,Ridge,baseline,onset_f1,not_applicable,1,NA,NA,1e-06,0.0099278075,0.0000000000,0.0286576274,0.0000000000,0.0555555556,0.0000000000,0.1718213058,0.0000000000,0.0989466041,0.0000000000,0.0237424146,0.0000000000
