protocol_sha256,role,mode,k,n_seeds,n_documents,mean_precision,seed_sd_precision,doc_ci_low_precision,doc_ci_high_precision,seed_min_precision,seed_max_precision,mean_recall,seed_sd_recall,doc_ci_low_recall,doc_ci_high_recall,seed_min_recall,seed_max_recall,mean_f1,seed_sd_f1,doc_ci_low_f1,doc_ci_high_f1,seed_min_f1,seed_max_f1
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,sbert,5,5,145,0.29868888888888423,0.0,0.2772196646566772,0.3203758714441153,0.29868888888888423,0.29868888888888423,0.8700177900530847,0.0,0.8365805016076578,0.8996749602921407,0.8700177900530847,0.8700177900530847,0.4032806547483007,0.0,0.3810545355408775,0.4266862739294714,0.4032806547483007,0.4032806547483007
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,sbert,10,5,145,0.24863756613756727,0.0,0.22541467640031998,0.27392885167511516,0.24863756613756727,0.24863756613756727,0.9645691927897809,0.0,0.9516719099028789,0.9757415528088828,0.9645691927897809,0.9645691927897809,0.3554526440553124,0.0,0.3291714980719118,0.38503956287849456,0.3554526440553124,0.3554526440553124
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,tfidf,1,5,145,0.7633333333333333,0.0,0.7186598964848505,0.807169281885191,0.7633333333333333,0.7633333333333333,0.6345687759408355,0.0,0.5931527925561406,0.6761698332325293,0.6345687759408355,0.6345687759408355,0.6627638626079788,0.0,0.6231396856384945,0.7037181145896158,0.6627638626079788,0.6627638626079788
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,tfidf,3,5,145,0.3823333333333313,0.0,0.36364637233992964,0.4002401556613356,0.3823333333333313,0.3823333333333313,0.8171429227090987,0.0,0.7814357440933041,0.8509184003495582,0.8171429227090987,0.8171429227090987,0.4786531740246901,0.0,0.4570935664932414,0.4986507529543389,0.4786531740246901,0.4786531740246901
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,tfidf,5,5,145,0.2993555555555506,0.0,0.2799865280621835,0.31929667277551244,0.2993555555555506,0.2993555555555506,0.8824503926356865,0.0,0.8526113118946013,0.9096416989778816,0.8824503926356865,0.8824503926356865,0.40624819654602834,0.0,0.3849088492364604,0.42821093615171796,0.40624819654602834,0.40624819654602834
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,tfidf,10,5,145,0.24803756613756725,0.0,0.2242826953004843,0.2721837224340519,0.24803756613756725,0.24803756613756725,0.9608888129844011,0.0,0.9466310998601517,0.9736328279854035,0.9608888129844011,0.9608888129844011,0.354391896004213,0.0,0.327537199322581,0.38342352288947956,0.354391896004213,0.354391896004213
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,predicted,bm25,1,5,145,0.8066666666666666,0.0,0.7662962948485417,0.8424704894292377,0.8066666666666666,0.8066666666666666,0.669523629420689,0.0,0.6313066710460044,0.7076224339204005,0.669523629420689,0.669523629420689,0.6993632563514905,0.0,0.6611591921433962,0.7348680319453467,0.6993632563514905,0.6993632563514905
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,predicted,bm25,3,5,145,0.38788888888888695,0.0,0.37075364636445096,0.4042028846101739,0.38788888888888695,0.38788888888888695,0.8306527351189107,1.2412670766236366e-16,0.7992019877017077,0.86230794174705,0.8306527351189108,0.8306527351189108,0.4864023951739114,0.0,0.4674377109160953,0.5051837947135054,0.4864023951739114,0.4864023951739114
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,predicted,bm25,5,5,145,0.3032222222222171,0.0,0.2838297221794922,0.3219066674494466,0.3032222222222171,0.3032222222222171,0.8913173312526246,0.0,0.8651914044945483,0.9155834971537247,0.8913173312526246,0.8913173312526246,0.41090634833575923,6.206335383118183e-17,0.39094860299534445,0.43275337820605303,0.4109063483357592,0.4109063483357592
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,predicted,bm25,10,5,145,0.24663756613756732,3.1031676915590914e-17,0.22318186984744245,0.2715805524926194,0.2466375661375673,0.2466375661375673,0.9592554075009959,0.0,0.9448786994062911,0.9719083257900035,0.9592554075009959,0.9592554075009959,0.3529582574411937,0.0,0.3238965424895013,0.3825418471459824,0.3529582574411937,0.3529582574411937
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,predicted,full,1,5,145,0.7796000000000001,0.005765799549450559,0.7287127594163932,0.8222229409228116,0.7706666666666667,0.7853333333333333,0.6381114071984669,0.00484455020271926,0.594873792861996,0.6823268115000617,0.6309069627540224,0.6429069627540225,0.6687510148892487,0.005051947710621065,0.6220338819623532,0.7101232328079048,0.6612449542831882,0.6735560653942992
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,predicted,full,3,5,145,0.39162222222222054,0.0018685176008515678,0.3757666629451738,0.40734076777035433,0.3894444444444426,0.3941111111111098,0.8422752901564661,0.0036387746279030243,0.8150909602044634,0.8699647925452456,0.8382794685706443,0.8472178524090284,0.4920170865460637,0.0021279961838366985,0.4746559282774673,0.5085383818763745,0.4896784914374687,0.4950133454723225
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,predicted,full,5,5,145,0.30556888888888356,0.0004953113498934891,0.287665006200718,0.3247962794132647,0.3049555555555503,0.30628888888888356,0.9035890314043258,0.0018516059039246089,0.8797975105785296,0.926363415036884,0.9020010419863362,0.9061214123567066,0.41496325859325756,0.000738282440212342,0.39481785716591256,0.43618189752848646,0.4140934839670123,0.41600252177016783
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,predicted,full,10,5,145,0.24921089947090075,0.00019206480387848028,0.22494701244409895,0.27297210341469735,0.2489708994709008,0.24950423280423406,0.9672116532922412,0.0007526715709370339,0.955493783420275,0.9773802543158673,0.9662318505024383,0.9682636686842568,0.356300198974033,0.0002385230137588837,0.3303500993936478,0.3862693027018632,0.35595139582786145,0.35662062104708664
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,predicted,lead_k,1,5,145,0.6953333333333334,0.0,0.6351883769085107,0.7515166800412701,0.6953333333333334,0.6953333333333334,0.5517569627540224,0.0,0.49441085036949606,0.6039045053439793,0.5517569627540224,0.5517569627540224,0.5826696055578396,0.0,0.5259752009561707,0.6367424860629954,0.5826696055578396,0.5826696055578396
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,predicted,lead_k,3,5,145,0.3381111111111075,0.0,0.31368727744583247,0.3615972457575495,0.3381111111111075,0.3381111111111075,0.6923502218913986,0.0,0.6383476529186103,0.7460716865996483,0.6923502218913986,0.6923502218913986,0.41374812599394584,6.206335383118183e-17,0.3840183956817209,0.4440559298109929,0.4137481259939459,0.4137481259939459
