scenario,method,method_type,seed_index,front_points,hv_reported_empirical_ref1p1_clipped,hv_reported_empirical_ref1p1_unclipped,hv_expanded_empirical_ref1p1_unclipped,hv_analytic_ref1p1_unclipped,hv_analytic_ref1p2_unclipped,reported_below_zero_coordinates,reported_above_one_coordinates,reported_clipped_points,expanded_below_zero_coordinates,expanded_above_one_coordinates,expanded_clipped_points,analytic_below_zero_coordinates,analytic_above_one_coordinates,analytic_clipped_points
reliability_driven_review,TRACE-MOEA,shared_custom_moea,11,38,0.1704176930,0.1972826428,0.2133684640,0.0302227249,0.1142038315,5,0,5,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,12,39,0.1710723350,0.1972479290,0.2132525800,0.0289718756,0.1112150728,4,0,4,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,13,39,0.1733905834,0.1908859170,0.2070405254,0.0293763498,0.1118465100,2,0,2,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,14,39,0.1699629225,0.1952864083,0.2119157054,0.0292646554,0.1119206769,4,0,4,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,15,39,0.1733344230,0.2014957023,0.2165624655,0.0310223476,0.1161926113,4,0,4,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,16,39,0.1735724676,0.2146401721,0.2280440765,0.0314229809,0.1176877662,5,0,5,1,0,1,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,17,38,0.1722533359,0.2172346733,0.2305111393,0.0309982746,0.1164713740,6,0,6,2,0,2,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,18,38,0.1714134874,0.1969660300,0.2130990424,0.0305216563,0.1149864014,5,0,5,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,19,38,0.1734159398,0.2056206953,0.2201118927,0.0306665535,0.1154095736,4,0,4,0,0,0,0,0,0
reliability_driven_review,TRACE-MOEA,shared_custom_moea,20,36,0.1747640605,0.1905275604,0.2059938994,0.0292674045,0.1114994580,4,0,4,0,0,0,0,0,0
