paper,experiment_id,method,method_role,seed,hypervolume,hypervolume_worst_case,feasible_front_size,compromise_cost_index,compromise_loss_index,compromise_voltage_risk,compromise_hosting_capacity,compromise_reliability,compromise_survivability,portfolio_size,hosting_shortfall,der_readiness_shortfall,runtime_s,run_status
p4,der_uncertainty,Control-GAOnly,mechanism_control,23,0.26492386,0.25472444,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062869,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,24,0.26950772,0.26092353,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062906,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,25,0.27584897,0.26680437,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062183,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,26,0.25256887,0.24323408,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061079,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,27,0.26005063,0.25029325,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062861,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,28,0.24030114,0.23209940,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062228,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-GAOnly,mechanism_control,29,0.26467641,0.25540844,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062401,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,0,0.27085406,0.26224912,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086813,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,1,0.27262249,0.26308768,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087517,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,2,0.27109629,0.26219141,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086421,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,3,0.26048270,0.25233092,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087187,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,4,0.26681589,0.25798178,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.088519,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,5,0.27394094,0.26520492,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.089091,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,6,0.27615140,0.26699952,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086748,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,7,0.27621732,0.26682433,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087559,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,8,0.27577655,0.26649248,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087864,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,9,0.27757912,0.26830409,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087342,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,10,0.26010976,0.25166940,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086484,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,11,0.26460961,0.25661709,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.088632,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,12,0.26566259,0.25758712,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085805,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,13,0.27303159,0.26425456,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087123,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,14,0.27020128,0.26078912,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087003,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,15,0.26950810,0.26075775,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.084919,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,16,0.25974381,0.25076174,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.090374,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,17,0.27721553,0.26798125,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086521,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,18,0.26704953,0.25844457,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087640,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,19,0.27443509,0.26496369,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085255,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,20,0.26437520,0.25627511,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.087062,real_shield_mechanism_controls_20260810
p4,der_uncertainty,Control-DEOnly,mechanism_control,21,0.27250585,0.26324679,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085975,real_shield_mechanism_controls_20260810
