paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p4,load_uncertainty,MOEA/D,baseline,2,0.79363417,0.02084367,0.87449543,0.12333102,0.18084367,0.00033015,1.00000000,1.00000000,0.12333102,10,0.00005590,public_simbench_planning_v1
p4,load_uncertainty,MOEA/D,baseline,3,0.79363417,0.02084367,0.87449543,0.12333102,0.18084367,0.00033015,1.00000000,1.00000000,0.12333102,10,0.00005670,public_simbench_planning_v1
p4,load_uncertainty,GA,baseline,1,0.78976851,0.02292812,0.79525690,0.12358964,0.18292812,0.00033015,1.00000000,1.00000000,0.12358964,9,0.00008750,public_simbench_planning_v1
p4,load_uncertainty,GA,baseline,2,0.76363670,0.02428983,0.78891455,0.12324486,0.18428983,0.00026412,0.93757837,1.00000000,0.12324486,8,0.00009550,public_simbench_planning_v1
p4,load_uncertainty,GA,baseline,3,0.76972989,0.02308983,0.95026325,0.12169325,0.18308983,0.00059426,0.94342505,1.00000000,0.12169325,9,0.00008650,public_simbench_planning_v1
p4,load_uncertainty,Weighted Sum,baseline,1,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00007270,public_simbench_planning_v1
p4,load_uncertainty,Weighted Sum,baseline,2,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00006700,public_simbench_planning_v1
p4,load_uncertainty,Weighted Sum,baseline,3,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00005860,public_simbench_planning_v1
p4,load_uncertainty,Deterministic Planning,baseline,1,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00006030,public_simbench_planning_v1
p4,load_uncertainty,Deterministic Planning,baseline,2,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00006010,public_simbench_planning_v1
p4,load_uncertainty,Deterministic Planning,baseline,3,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00006000,public_simbench_planning_v1
p4,load_uncertainty,Ablation-NoScenarioScreen,ablation,1,0.78966615,0.02204367,0.71314673,0.12488263,0.18204367,0.00000000,1.00000000,1.00000000,0.12488263,9,0.00005830,public_simbench_planning_v1
p4,load_uncertainty,Ablation-NoScenarioScreen,ablation,2,0.78975749,0.02292812,0.79473027,0.12359691,0.18292812,0.00032703,1.00000000,1.00000000,0.12359691,9,0.00005790,public_simbench_planning_v1
p4,load_uncertainty,Ablation-NoScenarioScreen,ablation,3,0.78966615,0.02204367,0.71314673,0.12488263,0.18204367,0.00000000,1.00000000,1.00000000,0.12488263,9,0.00006260,public_simbench_planning_v1
p4,load_uncertainty,Ablation-NoRepair,ablation,1,0.79372408,0.02172812,0.95607897,0.12204530,0.18172812,0.00065718,1.00000000,1.00000000,0.12204530,10,0.00005780,public_simbench_planning_v1
p4,load_uncertainty,Ablation-NoRepair,ablation,2,0.79363417,0.02084367,0.87449543,0.12333102,0.18084367,0.00033015,1.00000000,1.00000000,0.12333102,10,0.00005770,public_simbench_planning_v1
p4,load_uncertainty,Ablation-NoRepair,ablation,3,0.79362310,0.02084367,0.87396879,0.12333828,0.18084367,0.00032703,1.00000000,1.00000000,0.12333828,10,0.00005690,public_simbench_planning_v1
p4,load_uncertainty,Ablation-NoResilienceObj,ablation,1,0.71817581,0.02589702,0.79760192,0.12256254,0.18589702,0.00065718,0.85044186,0.94528837,0.12457422,8,0.00007480,public_simbench_planning_v1
p4,load_uncertainty,Ablation-NoResilienceObj,ablation,2,0.58193454,0.03022763,0.79413122,0.12118340,0.19022763,0.00092129,0.62159166,0.71516231,0.13153868,6,0.00007250,public_simbench_planning_v1
p4,load_uncertainty,Ablation-NoResilienceObj,ablation,3,0.71817581,0.02589702,0.79760192,0.12256254,0.18589702,0.00065718,0.85044186,0.94528837,0.12457422,8,0.00007420,public_simbench_planning_v1
p4,load_uncertainty,Ablation-NoOutage,ablation,1,0.79372408,0.02172812,0.95607897,0.12204530,0.18172812,0.00065718,1.00000000,1.00000000,0.12204530,10,0.00006570,public_simbench_planning_v1
p4,load_uncertainty,Ablation-NoOutage,ablation,2,0.79363417,0.02084367,0.87449543,0.12333102,0.18084367,0.00033015,1.00000000,1.00000000,0.12333102,10,0.00005750,public_simbench_planning_v1
