dataset,horizon_hours,method,method_role,seed,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,MLP,baseline,109,0.03091460,0.04729189,0.17842303,0.16533208,0.03355762,0.04618657,0.7469,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,MLP,baseline,127,0.03107114,0.04695238,0.18324441,0.18137427,0.03372754,0.04749228,0.6347,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,1,MLP,baseline,139,0.03096558,0.04685061,0.18788053,0.17217764,0.03361295,0.04673855,0.6826,15904,21016,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,HyG-LoadFormer (neural),proposed,59,0.05497279,0.09430317,0.37588485,0.25457497,0.05967263,0.08322545,2.5047,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,HyG-LoadFormer (neural),proposed,71,0.05388140,0.09216754,0.34886551,0.26252452,0.05848794,0.10115021,2.5925,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,HyG-LoadFormer (neural),proposed,83,0.05813513,0.09667768,0.39932656,0.26105399,0.06310534,0.09270300,2.6003,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,HyG-LoadFormer (neural),proposed,97,0.05536598,0.09273396,0.36897864,0.29750713,0.06009945,0.09927419,2.5558,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,HyG-LoadFormer (neural),proposed,109,0.05849800,0.09608597,0.38094660,0.27584349,0.06349923,0.10294622,2.6342,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,HyG-LoadFormer (neural),proposed,127,0.05629849,0.09418183,0.35780721,0.28074670,0.06111167,0.10586333,2.6066,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,HyG-LoadFormer (neural),proposed,139,0.05557375,0.09306019,0.36846756,0.26706310,0.06032498,0.10366548,2.5736,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EuclideanGraph (neural),ablation,59,0.05531695,0.09458481,0.38430992,0.25628899,0.06004622,0.08235031,2.4201,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EuclideanGraph (neural),ablation,71,0.05384228,0.09217763,0.34873160,0.26482891,0.05844548,0.10104294,2.4459,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EuclideanGraph (neural),ablation,83,0.05699135,0.09521336,0.38436686,0.26000903,0.06186377,0.09462055,2.5976,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EuclideanGraph (neural),ablation,97,0.05532947,0.09240485,0.36946175,0.30301324,0.06005981,0.10005101,2.5743,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EuclideanGraph (neural),ablation,109,0.05849689,0.09600666,0.38089319,0.27481488,0.06349803,0.10333000,2.6126,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EuclideanGraph (neural),ablation,127,0.05290113,0.09135406,0.33527342,0.26128419,0.05742386,0.09936292,2.6651,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EuclideanGraph (neural),ablation,139,0.05565035,0.09311121,0.36998228,0.26804729,0.06040812,0.10376567,2.6092,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-FixedCurvature (neural),ablation,59,0.05517176,0.09446022,0.38120749,0.25359969,0.05988861,0.08284491,2.5996,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-FixedCurvature (neural),ablation,71,0.05384132,0.09211459,0.34847083,0.26251730,0.05844443,0.10072711,2.4943,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-FixedCurvature (neural),ablation,83,0.05780782,0.09639528,0.39448411,0.25995020,0.06275004,0.09246910,2.5769,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-FixedCurvature (neural),ablation,97,0.05521116,0.09252616,0.36707325,0.29883038,0.05993139,0.09989723,2.5575,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-FixedCurvature (neural),ablation,109,0.05831054,0.09595255,0.37865998,0.27434216,0.06329575,0.10259029,2.5332,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
