dataset,horizon_hours,method,method_role,seed,reconciliation,hierarchy_weighted_smape,leaf_smape,region_smape,system_smape,leaf_mae,region_mae,system_mae,coherence_violation,runtime_s,train_samples,test_samples,source_status
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,11,Top-Down,0.35840138,0.55856544,0.34278758,0.17385111,0.69778775,1.31234370,2.68909554,0.00000000,2.1413,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,11,OLS-Reconciled,0.28394774,0.40675994,0.27184703,0.17323626,0.50693843,1.03744404,2.68253021,0.00000000,2.1413,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,23,Base,0.29292554,0.41794497,0.27996011,0.18087153,0.51877307,1.06092546,2.76301746,0.04270762,2.7653,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,23,Bottom-Up,0.29369752,0.41794497,0.28088575,0.18226183,0.51877307,1.06727082,2.80663386,0.00000000,2.7653,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,23,Top-Down,0.36501152,0.56483642,0.34932663,0.18087153,0.70573349,1.33247207,2.76301746,0.00000000,2.7653,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,23,OLS-Reconciled,0.29226827,0.41653675,0.27962860,0.18063948,0.51556736,1.05789799,2.76230842,0.00000000,2.7653,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,47,Base,0.29916564,0.42689198,0.28559217,0.18501277,0.52686380,1.07785016,2.80922109,0.03763806,2.7533,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,47,Bottom-Up,0.30029301,0.42689198,0.28675928,0.18722778,0.52686380,1.08525883,2.86973940,0.00000000,2.7533,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,47,Top-Down,0.36905119,0.56824821,0.35389260,0.18501277,0.70994732,1.34586336,2.80922109,0.00000000,2.7533,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,47,OLS-Reconciled,0.29844527,0.42505686,0.28545431,0.18482465,0.52304122,1.07487934,2.80996609,0.00000000,2.7533,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,59,Base,0.28251235,0.40476788,0.26945326,0.17331592,0.50216716,1.03288095,2.67815661,0.04387499,2.7132,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,59,Bottom-Up,0.28326809,0.40476788,0.26997607,0.17506032,0.50216716,1.03047718,2.68844931,0.00000000,2.7132,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,59,Top-Down,0.35687028,0.55612486,0.34117004,0.17331592,0.69447714,1.30557532,2.67815661,0.00000000,2.7132,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,59,OLS-Reconciled,0.28145373,0.40262309,0.26916062,0.17257748,0.50299972,1.03041858,2.66862778,0.00000000,2.7132,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,71,Base,0.29175077,0.41654572,0.27867478,0.18003180,0.52098881,1.06291600,2.77371087,0.04495700,2.4869,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,71,Bottom-Up,0.29325868,0.41654572,0.28033946,0.18289085,0.52098881,1.07534431,2.85427339,0.00000000,2.4869,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,71,Top-Down,0.36484963,0.56518424,0.34933287,0.18003180,0.70765570,1.33662639,2.77371087,0.00000000,2.4869,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,71,OLS-Reconciled,0.29062543,0.41407927,0.27822478,0.17957223,0.51582920,1.05924374,2.77192657,0.00000000,2.4869,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,83,Base,0.29427903,0.42034183,0.28104972,0.18144555,0.52131363,1.06591339,2.77264913,0.04545460,2.1113,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,83,Bottom-Up,0.29482623,0.42034183,0.28141189,0.18272498,0.52131363,1.07181790,2.82402697,0.00000000,2.1113,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,83,Top-Down,0.36570618,0.56551504,0.35015795,0.18144555,0.70691812,1.33593451,2.77264913,0.00000000,2.1113,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,83,OLS-Reconciled,0.29326720,0.41832487,0.28066482,0.18081190,0.51776807,1.06216400,2.76854347,0.00000000,2.1113,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,97,Base,0.28557122,0.40785386,0.27319195,0.17566784,0.51054883,1.04402636,2.70988710,0.04470079,2.6296,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,97,Bottom-Up,0.28637167,0.40785386,0.27390021,0.17736096,0.51054883,1.04831437,2.75356733,0.00000000,2.6296,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,97,Top-Down,0.36041468,0.56050218,0.34507401,0.17566784,0.70020886,1.31929511,2.70988710,0.00000000,2.6296,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,97,OLS-Reconciled,0.28455559,0.40577381,0.27295262,0.17494034,0.50890800,1.04110726,2.70360784,0.00000000,2.6296,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
