scenario,method,seed_index,legacy_hypervolume,rerun_hypervolume,exact_at_archived_precision
renewable_accommodation_review,Ablation-NoPreferenceRanking,9,0.18852103,0.18852103,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,10,0.18617211,0.18617211,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,11,0.18575381,0.18575381,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,12,0.18457468,0.18457468,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,13,0.18618172,0.18618172,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,14,0.18662731,0.18662731,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,15,0.18607781,0.18607781,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,16,0.17402592,0.17402592,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,17,0.18603728,0.18603728,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,18,0.18662837,0.18662837,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,19,0.18255540,0.18255540,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,20,0.18600276,0.18600276,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,21,0.18514657,0.18514657,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,22,0.17697438,0.17697438,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,23,0.18693003,0.18693003,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,24,0.18405827,0.18405827,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,25,0.17956824,0.17956824,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,26,0.18666999,0.18666999,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,27,0.18554629,0.18554629,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,28,0.18734850,0.18734850,True
renewable_accommodation_review,Ablation-NoPreferenceRanking,29,0.18226299,0.18226299,True
renewable_accommodation_review,AHP-TOPSIS,0,0.14114755,0.14114755,True
renewable_accommodation_review,Weighted Sum,0,0.05986210,0.05986210,True
renewable_accommodation_review,Greedy BCR,0,0.05986210,0.05986210,True
budget_ranking_stability,TRACE-MOEA,0,0.17210466,0.17210466,True
budget_ranking_stability,TRACE-MOEA,1,0.16847769,0.16847769,True
budget_ranking_stability,TRACE-MOEA,2,0.17330692,0.17330692,True
budget_ranking_stability,TRACE-MOEA,3,0.17320005,0.17320005,True
budget_ranking_stability,TRACE-MOEA,4,0.17152539,0.17152539,True
budget_ranking_stability,TRACE-MOEA,5,0.17552511,0.17552511,True
budget_ranking_stability,TRACE-MOEA,6,0.16904150,0.16904150,True
budget_ranking_stability,TRACE-MOEA,7,0.17397637,0.17397637,True
budget_ranking_stability,TRACE-MOEA,8,0.17213352,0.17213352,True
budget_ranking_stability,TRACE-MOEA,9,0.16320620,0.16320620,True
budget_ranking_stability,TRACE-MOEA,10,0.17125393,0.17125393,True
budget_ranking_stability,TRACE-MOEA,11,0.17306606,0.17306606,True
budget_ranking_stability,TRACE-MOEA,12,0.17225766,0.17225766,True
budget_ranking_stability,TRACE-MOEA,13,0.17367403,0.17367403,True
budget_ranking_stability,TRACE-MOEA,14,0.17448271,0.17448271,True
budget_ranking_stability,TRACE-MOEA,15,0.16637658,0.16637658,True
budget_ranking_stability,TRACE-MOEA,16,0.17408572,0.17408572,True
budget_ranking_stability,TRACE-MOEA,17,0.17197262,0.17197262,True
budget_ranking_stability,TRACE-MOEA,18,0.17039779,0.17039779,True
budget_ranking_stability,TRACE-MOEA,19,0.17032067,0.17032067,True
budget_ranking_stability,TRACE-MOEA,20,0.17037440,0.17037440,True
budget_ranking_stability,TRACE-MOEA,21,0.17335815,0.17335815,True
budget_ranking_stability,TRACE-MOEA,22,0.16606081,0.16606081,True
budget_ranking_stability,TRACE-MOEA,23,0.17120737,0.17120737,True
budget_ranking_stability,TRACE-MOEA,24,0.17419517,0.17419517,True
budget_ranking_stability,TRACE-MOEA,25,0.17289867,0.17289867,True
budget_ranking_stability,TRACE-MOEA,26,0.17267824,0.17267824,True
budget_ranking_stability,TRACE-MOEA,27,0.17060364,0.17060364,True
budget_ranking_stability,TRACE-MOEA,28,0.17051563,0.17051563,True
budget_ranking_stability,TRACE-MOEA,29,0.16946753,0.16946753,True
budget_ranking_stability,Ablation-NoPreferenceRanking,0,0.17233716,0.17233716,True
budget_ranking_stability,Ablation-NoPreferenceRanking,1,0.16993727,0.16993727,True
budget_ranking_stability,Ablation-NoPreferenceRanking,2,0.17193883,0.17193883,True
budget_ranking_stability,Ablation-NoPreferenceRanking,3,0.17278581,0.17278581,True
budget_ranking_stability,Ablation-NoPreferenceRanking,4,0.17167603,0.17167603,True
budget_ranking_stability,Ablation-NoPreferenceRanking,5,0.17119027,0.17119027,True
budget_ranking_stability,Ablation-NoPreferenceRanking,6,0.17256930,0.17256930,True
budget_ranking_stability,Ablation-NoPreferenceRanking,7,0.17285918,0.17285918,True
budget_ranking_stability,Ablation-NoPreferenceRanking,8,0.17165138,0.17165138,True
budget_ranking_stability,Ablation-NoPreferenceRanking,9,0.17148486,0.17148486,True
budget_ranking_stability,Ablation-NoPreferenceRanking,10,0.17236017,0.17236017,True
budget_ranking_stability,Ablation-NoPreferenceRanking,11,0.17156067,0.17156067,True
budget_ranking_stability,Ablation-NoPreferenceRanking,12,0.17218467,0.17218467,True
budget_ranking_stability,Ablation-NoPreferenceRanking,13,0.17021314,0.17021314,True
budget_ranking_stability,Ablation-NoPreferenceRanking,14,0.17195900,0.17195900,True
budget_ranking_stability,Ablation-NoPreferenceRanking,15,0.17249558,0.17249558,True
budget_ranking_stability,Ablation-NoPreferenceRanking,16,0.16899347,0.16899347,True
budget_ranking_stability,Ablation-NoPreferenceRanking,17,0.17289536,0.17289536,True
budget_ranking_stability,Ablation-NoPreferenceRanking,18,0.17037339,0.17037339,True
budget_ranking_stability,Ablation-NoPreferenceRanking,19,0.16822368,0.16822368,True
