cell_id,factor,method,risk_aggregation,quality_compliance_share,n_preferences,preference_profile,seed_index,seed_value,hv_reported_empirical_ref1p1_clipped,hv_analytic_ref1p2,matched_single_hv_analytic_ref1p2,compromise_max_score,full_front_size,portfolio_size,trace_event_count
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,18,842542,0.1736997832,0.0994254508,0.0139069574,0.9849719355,38,14,933
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,19,850461,0.1757492804,0.1060033789,0.0144886599,0.9837615074,39,14,984
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,20,858380,0.1777909688,0.1029242145,0.0130298249,0.9823733570,39,14,1093
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,21,866299,0.1703647393,0.1030392969,0.0128464833,0.9849172694,39,14,1094
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,22,874218,0.1765726674,0.1118127533,0.0152528606,0.9837561020,39,14,1025
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,23,882137,0.1768523918,0.1084197889,0.0161964961,0.9836466623,39,14,938
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,24,890056,0.1771714664,0.1026585350,0.0150275178,0.9839359235,39,14,996
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,25,897975,0.1750643586,0.1103660161,0.0160033033,0.9848837032,38,14,910
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,26,905894,0.1738475509,0.1063499173,0.0122628557,0.9843843173,39,14,975
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,27,913813,0.1769171366,0.1089770689,0.0134064159,0.9844236414,38,14,895
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,28,921732,0.1777854412,0.1035388075,0.0204670434,0.9857158272,39,13,971
preferences_k4,preference,TRACE-MOEA,mean,0.5000000000,4,balanced,29,929651,0.1749785179,0.1078533426,0.0133166258,0.9849031324,38,14,1015
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,0,700000,0.1763159471,0.1039229117,0.0121804029,0.9851642913,39,14,1434
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,1,707919,0.1769456788,0.1070997334,0.0162713411,0.9840419535,39,14,1504
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,2,715838,0.1751766596,0.1053502779,0.0183360418,0.9840190099,37,12,1444
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,3,723757,0.1746856861,0.1057517090,0.0148930600,0.9875169107,40,15,1399
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,4,731676,0.1746400255,0.1051387930,0.0149877368,0.9845874853,38,13,1540
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,5,739595,0.1755194590,0.1049068185,0.0160819999,0.9850170828,38,14,1443
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,6,747514,0.1763490958,0.1028858526,0.0180959439,0.9856064843,37,14,1473
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,7,755433,0.1760832545,0.1096290243,0.0177179920,0.9837084830,38,14,1527
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,8,763352,0.1758313213,0.1077983468,0.0139578721,0.9844595416,40,13,1431
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,9,771271,0.1737566097,0.1085733576,0.0215320016,0.9866508058,39,13,1478
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,10,779190,0.1768222089,0.1049737619,0.0149843153,0.9868173564,39,12,1491
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,11,787109,0.1746669713,0.1033723770,0.0139892547,0.9851860587,39,13,1564
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,12,795028,0.1761015784,0.1029506663,0.0161595171,0.9857020749,39,14,1416
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,13,802947,0.1744137531,0.1040197583,0.0194380546,0.9844158852,39,13,1470
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,14,810866,0.1739349784,0.1029816258,0.0159916058,0.9855179536,39,13,1519
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,15,818785,0.1766309158,0.1090460255,0.0148185289,0.9834830839,38,13,1622
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,16,826704,0.1763244144,0.1032835333,0.0134263530,0.9851389451,38,14,1414
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,17,834623,0.1770356330,0.1060799554,0.0149148476,0.9833897380,39,13,1340
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,18,842542,0.1766183441,0.1002405355,0.0140347970,0.9867047580,38,15,1454
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,19,850461,0.1721689616,0.1027451434,0.0237404935,0.9848260322,39,11,1496
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,20,858380,0.1748989464,0.1062228824,0.0163111779,0.9842531778,39,14,1470
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,21,866299,0.1754947393,0.1059863300,0.0157949801,0.9842204328,38,13,1476
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,22,874218,0.1756215690,0.1058916863,0.0166064931,0.9826920237,39,13,1567
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,23,882137,0.1714531008,0.1040670255,0.0174416390,0.9845050460,39,13,1603
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,24,890056,0.1717143217,0.1025892336,0.0162535562,0.9870664414,40,14,1398
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,25,897975,0.1758993089,0.1082829438,0.0128232215,0.9811452385,39,14,1492
preferences_k16,preference,TRACE-MOEA,mean,0.5000000000,16,balanced,26,905894,0.1761825735,0.1060785876,0.0122245472,0.9852724138,39,14,1584
