dataset,horizon_hours,method,method_role,seed,curtailment_mae,curtailment_rmse,event_recall,event_precision,event_f1,onset_f1,onset_precision,onset_recall,onset_mae,cessation_f1,detection_threshold,n_onsets_test,stress_subset_mae,n_test,n_events,runtime_s,source_status
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,TCN,baseline,5,0.00785759,0.02256692,0.657895,0.813008,0.727273,0.125341,0.074194,0.403509,0.04699557,0.018526,0.032181,57,0.02134587,2628,152,2.5349,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,TCN,baseline,6,0.00815510,0.02240754,0.750000,0.730769,0.740260,0.189815,0.109333,0.719298,0.04500845,0.012121,0.025158,57,0.02190843,2628,152,2.5504,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,TCN,baseline,7,0.01135928,0.02644879,0.605263,0.779661,0.681481,0.161157,0.091335,0.684211,0.04651352,0.004429,0.021328,57,0.02762152,2628,152,2.6022,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,TCN,baseline,8,0.00755324,0.02170819,0.644737,0.796748,0.712727,0.185615,0.106952,0.701754,0.04738651,0.016443,0.017573,57,0.02043141,2628,152,2.6046,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,TCN,baseline,9,0.00841772,0.02509338,0.552632,0.831683,0.664032,0.177570,0.102426,0.666667,0.04897039,0.015557,0.013178,57,0.02315064,2628,152,2.5544,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,kNN-RawFeature,baseline,0,0.01281050,0.03654818,0.447368,0.686869,0.541833,0.089172,0.054475,0.245614,0.04880844,0.031301,0.042743,57,0.03528196,2628,152,6.7241,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoSiamese,ablation,0,0.01281050,0.03654818,0.447368,0.686869,0.541833,0.089172,0.054475,0.245614,0.04880844,0.031301,0.042743,57,0.03528196,2628,152,11.2891,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoSiamese,ablation,1,0.01281050,0.03654818,0.447368,0.686869,0.541833,0.089172,0.054475,0.245614,0.04880844,0.031301,0.042743,57,0.03528196,2628,152,11.2567,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoSiamese,ablation,2,0.01281050,0.03654818,0.447368,0.686869,0.541833,0.089172,0.054475,0.245614,0.04880844,0.031301,0.042743,57,0.03528196,2628,152,11.2584,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoSiamese,ablation,3,0.01281050,0.03654818,0.447368,0.686869,0.541833,0.089172,0.054475,0.245614,0.04880844,0.031301,0.042743,57,0.03528196,2628,152,11.2921,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoSiamese,ablation,4,0.01281050,0.03654818,0.447368,0.686869,0.541833,0.089172,0.054475,0.245614,0.04880844,0.031301,0.042743,57,0.03528196,2628,152,11.3344,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoSiamese,ablation,5,0.01281050,0.03654818,0.447368,0.686869,0.541833,0.089172,0.054475,0.245614,0.04880844,0.031301,0.042743,57,0.03528196,2628,152,11.2634,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoSiamese,ablation,6,0.01281050,0.03654818,0.447368,0.686869,0.541833,0.089172,0.054475,0.245614,0.04880844,0.031301,0.042743,57,0.03528196,2628,152,11.3083,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoSiamese,ablation,7,0.01281050,0.03654818,0.447368,0.686869,0.541833,0.089172,0.054475,0.245614,0.04880844,0.031301,0.042743,57,0.03528196,2628,152,11.3318,public_rts_curtailment_v6_modern_temporal_controls
