upstream_seed,downstream_seed,mode,k,n,mean_f1
3102,2028,bm25,10,1500,0.3529582574411935
3102,2028,full,1,1500,0.6658171765054117
3102,2028,full,3,1500,0.4909531044062004
3102,2028,full,5,1500,0.4159828538563833
3102,2028,full,10,1500,0.3563175481940137
3102,2028,no_role,1,1500,0.6721703030085384
3102,2028,no_role,3,1500,0.484040858699837
3102,2028,no_role,5,1500,0.4124698094933389
3102,2028,no_role,10,1500,0.35624390526544814
3102,2029,bm25,1,1500,0.6993632563514915
3102,2029,bm25,3,1500,0.4864023951739122
3102,2029,bm25,5,1500,0.4109063483357601
3102,2029,bm25,10,1500,0.3529582574411935
3102,2029,full,1,1500,0.6721703030085384
3102,2029,full,3,1500,0.484040858699837
3102,2029,full,5,1500,0.4124698094933389
3102,2029,full,10,1500,0.35624390526544814
3102,2029,no_role,1,1500,0.6721703030085384
3102,2029,no_role,3,1500,0.484040858699837
3102,2029,no_role,5,1500,0.4124698094933389
3102,2029,no_role,10,1500,0.35624390526544814
3102,2030,bm25,1,1500,0.6993632563514915
3102,2030,bm25,3,1500,0.4864023951739122
3102,2030,bm25,5,1500,0.4109063483357601
3102,2030,bm25,10,1500,0.3529582574411935
3102,2030,full,1,1500,0.6648939441821795
3102,2030,full,3,1500,0.49133022858920683
3102,2030,full,5,1500,0.4156694579929875
3102,2030,full,10,1500,0.3564947166396032
3102,2030,no_role,1,1500,0.6721703030085384
3102,2030,no_role,3,1500,0.484040858699837
3102,2030,no_role,5,1500,0.4124698094933389
3102,2030,no_role,10,1500,0.35624390526544814
3103,2026,bm25,1,1500,0.6993632563514915
3103,2026,bm25,3,1500,0.4864023951739122
3103,2026,bm25,5,1500,0.4109063483357601
3103,2026,bm25,10,1500,0.3529582574411935
3103,2026,full,1,1500,0.6604005098387452
3103,2026,full,3,1500,0.4899841968431751
3103,2026,full,5,1500,0.4145520513255807
3103,2026,full,10,1500,0.3561979566744221
3103,2026,no_role,1,1500,0.6721703030085384
3103,2026,no_role,3,1500,0.484040858699837
3103,2026,no_role,5,1500,0.4124698094933389
3103,2026,no_role,10,1500,0.35624390526544814
3103,2027,bm25,1,1500,0.6993632563514915
3103,2027,bm25,3,1500,0.4864023951739122
3103,2027,bm25,5,1500,0.4109063483357601
3103,2027,bm25,10,1500,0.3529582574411935
3103,2027,full,1,1500,0.6658893987276341
3103,2027,full,3,1500,0.49017321523219365
3103,2027,full,5,1500,0.4155734212410683
3103,2027,full,10,1500,0.3560792432241297
3103,2027,no_role,1,1500,0.6721703030085384
3103,2027,no_role,3,1500,0.484040858699837
3103,2027,no_role,5,1500,0.4124698094933389
3103,2027,no_role,10,1500,0.35624390526544814
3103,2028,bm25,1,1500,0.6993632563514915
3103,2028,bm25,3,1500,0.4864023951739122
3103,2028,bm25,5,1500,0.4109063483357601
3103,2028,bm25,10,1500,0.3529582574411935
3103,2028,full,1,1500,0.6703338431720784
3103,2028,full,3,1500,0.489875889028985
3103,2028,full,5,1500,0.41468710146063087
3103,2028,full,10,1500,0.35576355335843984
3103,2028,no_role,1,1500,0.6721703030085384
3103,2028,no_role,3,1500,0.484040858699837
3103,2028,no_role,5,1500,0.4124698094933389
3103,2028,no_role,10,1500,0.35624390526544814
3103,2029,bm25,1,1500,0.6993632563514915
3103,2029,bm25,3,1500,0.4864023951739122
3103,2029,bm25,5,1500,0.4109063483357601
3103,2029,bm25,10,1500,0.3529582574411935
3103,2029,full,1,1500,0.6696550552932906
3103,2029,full,3,1500,0.4902037735627519
3103,2029,full,5,1500,0.4137582506817801
3103,2029,full,10,1500,0.35583834085164834
3103,2029,no_role,1,1500,0.6721703030085384
3103,2029,no_role,3,1500,0.484040858699837
3103,2029,no_role,5,1500,0.4124698094933389
3103,2029,no_role,10,1500,0.35624390526544814
3103,2030,bm25,1,1500,0.6993632563514915
3103,2030,bm25,3,1500,0.4864023951739122
3103,2030,bm25,5,1500,0.4109063483357601
3103,2030,bm25,10,1500,0.3529582574411935
3103,2030,full,1,1500,0.6723060653943006
3103,2030,full,3,1500,0.4924918101449061
3103,2030,full,5,1500,0.4145476298211593
3103,2030,full,10,1500,0.3556609744939617
3103,2030,no_role,1,1500,0.6721703030085384
3103,2030,no_role,3,1500,0.484040858699837
3103,2030,no_role,5,1500,0.4124698094933389
3103,2030,no_role,10,1500,0.35624390526544814
3104,2026,bm25,1,1500,0.6993632563514915
3104,2026,bm25,3,1500,0.4864023951739122
3104,2026,bm25,5,1500,0.4109063483357601
3104,2026,bm25,10,1500,0.3529582574411935
3104,2026,full,1,1500,0.6642328330710684
