experiment,budget_multiplier,method,seed,hypervolume,preference_achievement_distance,feasible_front_size,trace_event_count,runtime_s,source_status
preference_aware_support,0.75,NSGA-II,2,0.16259119,0.53213066,40,0,0.161747,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,3,0.16660852,0.53291261,40,0,0.160654,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,4,0.16732886,0.53212471,40,0,0.160754,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,5,0.16751879,0.53191769,40,0,0.159911,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,6,0.16882728,0.53144872,40,0,0.169512,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,7,0.16641130,0.53154427,40,0,0.161331,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,8,0.16837272,0.53274385,40,0,0.162168,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,9,0.16981251,0.53017886,40,0,0.159392,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,10,0.14089211,0.53240881,40,0,0.157551,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,11,0.16680488,0.53197613,40,0,0.159268,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,12,0.16233322,0.53291601,40,0,0.158541,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,13,0.16382642,0.53235714,40,0,0.159028,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,14,0.16716527,0.52846344,40,0,0.159978,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,15,0.16193983,0.53204175,40,0,0.162503,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,16,0.16837880,0.53096528,40,0,0.162413,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,17,0.16617851,0.53492013,40,0,0.160163,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,18,0.14593754,0.53165118,40,0,0.162350,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,19,0.16725524,0.53395441,40,0,0.158170,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,20,0.16570006,0.53188284,40,0,0.161765,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,21,0.14379357,0.53441815,40,0,0.161117,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,22,0.16471259,0.53420783,40,0,0.166631,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,23,0.16808500,0.53039778,40,0,0.158202,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,24,0.16743572,0.53022101,40,0,0.156926,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,25,0.16632105,0.53260611,40,0,0.160237,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,26,0.16800685,0.53355743,40,0,0.158193,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,27,0.17039256,0.53262597,40,0,0.158205,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,28,0.16613918,0.53392642,40,0,0.161968,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,NSGA-II,29,0.16678216,0.53205672,40,0,0.160383,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,0,0.17646468,0.52497511,39,1089,0.124913,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,1,0.17689694,0.52486642,39,1278,0.126556,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,2,0.17693787,0.52447708,39,1154,0.123381,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,3,0.17854250,0.52582104,39,1226,0.126209,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,4,0.17531974,0.52714350,39,1017,0.125469,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,5,0.17280649,0.52854485,39,1173,0.126237,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,6,0.17561582,0.52437942,39,1043,0.125506,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,7,0.17172228,0.52759188,38,1135,0.125964,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,8,0.17591783,0.52634590,39,1062,0.124736,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,9,0.17553254,0.52623104,38,1097,0.125558,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,10,0.17112753,0.52873522,39,1121,0.126290,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,11,0.17596411,0.52405627,40,1288,0.127182,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,12,0.17739088,0.52582087,39,1157,0.124435,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,13,0.17672978,0.52289656,39,1237,0.124175,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,14,0.17629903,0.52697035,40,1163,0.125804,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,15,0.17498861,0.52726798,39,1297,0.125806,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,16,0.17500343,0.52994821,38,1163,0.123551,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,17,0.17599950,0.52534798,39,1289,0.124992,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,18,0.17298562,0.52417935,39,1035,0.124065,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,19,0.17340331,0.52315189,39,1150,0.125351,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,20,0.17638301,0.52815113,39,1104,0.126376,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,21,0.17927255,0.52786293,39,1182,0.125840,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,22,0.16566506,0.52477221,39,1025,0.127000,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,23,0.17713498,0.52605973,38,1337,0.127114,public_p5_preference_budget_v1_rnsga2
