paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,preference_achievement_distance,runtime_s,source_status
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,18,0.14407368,40,0.98712164,18.20547689,74.41515033,0.24236118,13,0,0,0.00000000,0.52962798,0.212886,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,19,0.13528032,40,0.99967716,17.09550187,72.32373209,0.21601226,16,0,0,0.00000000,0.53046252,0.211234,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,20,0.10565815,40,0.99698375,12.49985999,75.64478261,0.21682476,12,0,0,0.00000000,0.54934511,0.212676,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,21,0.16925961,40,0.93787919,22.74959289,72.92221697,0.25813956,15,0,0,0.00000000,0.52982913,0.210805,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,22,0.12544621,40,0.98531993,15.75885507,64.48607753,0.22603048,13,0,0,0.00000000,0.53046696,0.212370,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,23,0.11149571,40,0.96207442,13.04772531,95.37773198,0.21275314,15,0,0,0.00000000,0.54177111,0.209161,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,24,0.09504380,40,0.99585306,10.75340558,108.27655702,0.20610654,15,0,0,0.00000000,0.56998969,0.212209,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,25,0.13427475,40,0.99551854,16.85128173,58.81570894,0.22852830,14,0,0,0.00000000,0.53184767,0.208298,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,26,0.15031682,40,0.99905128,19.33712369,58.87814174,0.23178096,16,0,0,0.00000000,0.53178844,0.208165,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,27,0.13860824,40,0.98412750,17.29803663,89.51124821,0.23839302,15,0,0,0.00000000,0.52760637,0.209569,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,28,0.14689013,40,0.98292612,18.68276344,57.82096817,0.24422271,13,0,0,0.00000000,0.53194967,0.207609,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,29,0.12397766,40,0.96520786,15.04538873,110.61274694,0.22529308,15,0,0,0.00000000,0.52781357,0.213027,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,0,0.02986418,4,0.05508621,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.82424679,0.394003,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,1,0.03859690,5,0.13100860,3.08938924,20.40888964,0.27454953,2,0,0,0.00000000,0.76135636,0.391856,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,2,0.02154208,3,0.07168448,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.85256622,0.394098,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,3,0.02154205,3,0.07168448,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.85256622,0.382299,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,4,0.03582650,3,0.07168448,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.76963957,0.387540,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,5,0.02154203,3,0.07168448,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.85256622,0.383986,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,6,0.02528606,3,0.05508621,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.84944915,0.385280,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,7,0.03582650,3,0.07168448,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.76963957,0.386196,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,8,0.02594911,4,0.05508621,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.84500707,0.384341,public_rts_simbench_nerc_project_review_v3_direct_family_controls
